Text,User Name,Agree,Disagree,IP Address
华为和苹果其实挺像的，大部分用户甚至现在旗舰机是啥型号都不知道，直接去店里买最新的就是了,O猥琐的土豆丝O,6,0,江苏
产能不足吧，宣传了更不够卖，还不如这样呢,盗贼12,2,0,辽宁
1+8+N战略，手机的地位可是重中之重,getchar_,0,0,浙江
P70系列不愁卖，nova12、poket2愁卖的，宣传得厉害些,唐齐楚,1,0,重庆
说到底还是货不多,,0,0,浙江
坐标南京万象天地，华为的旗舰店，pura70系列的柜台人太多了，挤半天才摸到手机,主要是啊哈哈,3,0,江苏
因为这是华为，不是某米,落花无意情何系,1,0,浙江
昇腾一张卡能卖十几万，你说它担心啥,,0,0,广西
没热度猴不一样来蹭热度,天壁,1,0,广西
别人一个颜色上一个热搜，土豪,砖属,0,0,广东
mate系列才是华为亲儿子,纯白之阿尔比恩,0,0,江西
芯片产量不高,huangpobdzd,0,0,广东
华为这两个字本身就自带流量，正反两方面都带，别家发手机还得给各大博主送去发视频，华为发手机各大博主为了首发热度还得亲自去抢，高下立分,桌上的红墨水,2,0,广东
巴不得你不买，把麒麟产能全转到算卡，赚翻。,叶赛林,0,0,四川
本来产量就跟不上，反正生产出来不愁卖,穿越凡间,0,0,上海
不需要发布，友商会派人送热搜的,胭栀茶白,1,0,河南
因为就那么多货，爆火一堆人抢不上，还要被黑，还不如默默上线，反正不影响最后总销量,wangy200732401,0,0,
几个车友群群友天天刷从4月开始就天天刷，正式发售天天抢，花粉那购买力可怕，实在可怕,少者98,1,0,上海
Mate60还承担了给问界引流的任务，效果也很成功。P70估计本来也是有引流任务的，结果嘛……,Zephyr100,0,0,北京
华为自带流量，受众群体那是又吹又买，可不像某个品牌网络声量大，水军和信徒购买力不行，光吹不买,skywolf1988,0,0,浙江
又不是冖冖,云雾飞舞,0,0,河北
mate60是从0到1，p70只是水到渠成不一样,小米雷军糇糇糇,0,0,广东
想太多，本来就是想开发布会的，临时取消罢了。,账号没得取,0,0,广东
热搜都让军子买光了,SEKI006,0,0,山东
芯片产能不够啊，用在算卡上更划算,夏墨晴空,0,0,广东
"可以很明确的告诉你，你的感受是错的。华为没开p70发布会是无奈之举。
理由如下:
1.没有哪一次产品像这样子一样，准备那么多颜色。按往年节奏，这些颜色是要讲故事的。
2.你去看看b站华为终端就知道了，哪一次产品像这次这样啰哩巴嗦用视频介绍产品功能的？明显这些视频是发布会本来要讲的内容，讲完之后要放的vcr。发布会取消后对这些原本的vcr配上了语音。
你可以对比下mate60视频。mate60才是真的不在乎。（不过也存在临时提前太早了，没准备好的原因）
3.改名字这么重要的事情，明显原本是要在发布会上讲……让人觉得耳目一新。",账号没得取,1,0,广东
机圈太恶臭了，现在这样搞倒也挺好,蓝白军团扛把子,0,0,广东
现在感觉就是一种爱买不买的状态，大家不买他还能把芯片厂门给计算卡，那玩意赚钱更多，但是不开发布会，汽车那边热度亏得太多了，智界s7还指望这次pura70救一把呢,临风北上,0,0,广东
已经不需要了啊，没有对手说实话,咕哒咕哒76,1,0,广东
芯片工艺受限，做不出牛批的芯片，大嘴在台上吹都不好吹，所以都懒得开发布会了,月寒若水,0,0,四川
可能是mate60让他们觉得，卖手机为什么浪费钱开发布会吧，反正发布一堆人抢,Joe__素年,0,0,广东
开了啊，大嘴专门发了一个视频介绍名字的由来，不比mate60好了？,Joe__素年,2,0,广东
全力搞昇腾中…,五重变量,0,0,内蒙古
互联网那么发达，铺天盖地的流量，真实用户该知道的都知道了，不知道的也不是真实用户啊,蔚自己袋盐,1,0,河南
生态，消息渠道，目标用户都固定了。习惯了，就是真的贵，下一部肯定还是华为。不过我家电都是用小米的，手机从mix2，K30开始就不敢碰了。,dex5242,0,0,湖北
自媒体都得老老实实自己去买  评测的更是,許一生无忧,0,0,广东
都没找全球代言人,shiqianmf,0,0,北京
哈哈发售当天的热搜榜,后哈压嘿,0,0,山东
华为店都没人，不知道搞什么,猎魂的人,0,0,湖南
汽车赚的比手机多多了,巨蟹ZZ0396,1,0,福建
"开足马力做计算卡，宣传还花大价钱那岂不是在浪费嘛。
毕竟产能在那，不愁卖。更何况汽车，手机，计算卡都需要芯片。
现在产能不足，还宣传岂不是有人要等到p80出来才能买到？别说，p70就是例子。",未来faster,0,0,广东
"形式不同 当时需要m60系列重铸辉煌
现在是产能要让给ai
我们觉得华为高价低配利润高
但在华为看来 这点利润还不如挤出资源给ai
基本盘维持住就行了 并没多大的攻击性",Hgfhhfdh65,0,0,浙江
这一代华为又搞屏幕混用啊,rhdurla67615,1,0,山西
本来被制裁，就是要低调销售，要不再把制裁范围扩大到很多供应商，就不好了,yahan100,0,0,广东
感觉真不缺，昨天去华为店里挤的满满当当。,艾伦永远爱佳洁,0,0,山西
产能有限 货都不够卖还浪费钱宣传干嘛,撸开了说,0,0,广西
没买营销？？压屏幕问题热搜花了多少你不知道？？？虽然千亿营销，也不够花啊。,cosatanacota,0,1,四川
上万的东西屏幕抽奖属实难绷,啊咧RYan,0,0,湖北
