mid,content,star,time
5010688562432662,"#农夫山泉#
#娃哈哈#

娃哈哈成了商家的保命用水。
农夫山泉先不说想不想买卖
最起码也是不敢买不敢卖。
现在各种平台渲染的氛围就是你卖农夫山泉就是卖国贼。
。
下一步快进到有人拿着农夫山泉产品在路上走了，也会被人揍。。
得把娃哈哈挂在胸前保平安了",赞,21分钟前
5010688559287069,"农夫山泉，传统的公关模式估计无济于事！世界竞争格局变了，人心变了，传播方式变了。挣我的钱，还他妈移民，老子就是心里不爽。没别的！又不是无可替代！多方乐见。这局怎么破！
（市值风云:征途）
其实日式风早在几年前就出现反对浪潮了，奈雪的茶的被冲击了一波之后，现在已经改过来了。农夫山泉可能尾大不掉，太傲慢了，依然坚持。
当然，老百姓恨的也不全是这个，比如国籍问题，就很难解。
#农夫山泉#
农夫山泉 hk09633
#注册制炒股就用市值风云app#

收起
d",17,21分钟前
5010687422895141,"#农夫山泉#
马克思主义基本原理之一是，生活决定意识，而不是意识决定生活。",赞,26分钟前
5010687234146860,"好巧不巧！昨晚我看到柯南第645集广岛宫的七大不可思议之旅，你们猜我看到了点什么？
#农夫山泉 中的#
东方树叶 2011年推出，柯南那集也差不多了， 谁“借鉴”了谁民族品牌？彼此彼此，网友们怎么看？",赞,27分钟前
5010684782052200,"享受春天清新的空气
#农夫山泉#
#你愿意和闺蜜过一辈子吗#",赞,36分钟前
5010684628173786,"总而言之，我不会花钱给美国人赚走又造核武器对准我们中国人
#哇哈哈#

#农夫山泉#",2217,37分钟前
5010681900302658,"谁说高品质的东西一定很贵？良心才是最贵的东西，伴随我们童年到现在才发现不晚
#农夫山泉#
#东方树叶#

L
木木很瘦丫的微博视频",3,48分钟前
5010681626363067,"农夫山泉来一大瓶的！
#农夫山泉#

2
武汉·武汉天河国际机场",赞,49分钟前
5010681365007953,"#农夫山泉#
人家合法合理经营，有什么问题呢？",赞,50分钟前
5010681070095581,"#农夫山泉#
农夫山泉矿泉水确实不好喝，感觉有点沙沙的。怡宝，康师傅都不错。不过东方树叶好喝，普洱除外。还有果汁，乳茶也都好喝。",赞,51分钟前
5010680952652602,"#农夫山泉#
#谁在围剿农夫山泉#",赞,52分钟前
5010680895768641,"#农夫山泉#
今日看到最难蚌的一段话🤣",赞,52分钟前
5010680111694792,"#农夫山泉#
不管踩谁，抬谁，你的初心就是爱国，谁也不说你啥，哪怕你偏激，出发点是好的，内心是红色的。
但是出发点是为了博雅流量，就非常恶心人了
L
石战牛熊的微博视频",2,55分钟前
5010679327360089,"三年大灾后必有温格，刚开始格商场，后来格莫言，现在格民企，你说他们是脑残吧，他们可精着呢，有组织有计划。
#农夫山泉#",3012,58分钟前
5010676105609989,"论文在改二稿了，但是品牌出问题了，这种答辩会被卡比不了业么
，各位大佬帮忙支支招呀
#写论文#
#论文#
#东方树叶#
#农夫山泉#

我写的是东方树叶的营销策略研究，但是最近很多网友对农夫山泉的批评包括产品包装上的日本元素、文案中的日本茶文化内容、疑似靖国神社的图案、矿泉水包装上的山形似富士山等。此外，农夫山泉还因声称其白桃产自日本福岛县而受到批评。
收起
d",赞,今天09:49
5010675321537606,"#农夫山泉#

2
沈阳",赞,今天09:45
5010672964341099,"这水有点好喝嘞
#农夫山泉#",1,今天09:36
5010672516333600,"中国人都魔怔了，农夫山泉怎么了？脑子都有病吧！
#农夫山泉#

农夫山泉超话",1,今天09:34
5010672511878402,"喝完娃哈哈的产品以后力气就是大，一瓶农夫山泉逗不够他揍的
#哇哈哈#
#农夫山泉#
#仪式感#
#搞笑视频#

L
长安万里行的微博视频",1,今天09:34
5010671697396296,"#哇哈哈#
与
#农夫山泉#
之争，出现什么问题
#外贸创业群#
#退役军人之家#

大家很多支持哇哈哈，什么原因",赞,今天09:31
5010670609498159,"#农夫山泉#
#娃哈哈#
记忆中小时候特别特别喜欢喝娃哈哈，没钱喝的也很少，感觉很香很甜很浓，长大以后再喝确实没有之前的味道，没有那么好喝了，感觉配料表应该是多少有点变化，当然自己也有问题。营养快线也一样，也喜欢王力宏的矿泉水一直觉得很纯净，但是近几年娃哈哈去便利店，冰箱纯净水这块被农夫山泉和怡宝占领了，不刻意也确实找不到了，心里的印象娃哈哈除了纯净水，苏打水，红茶绿茶冰红茶还有很多别的口感就是一坨史，充满了廉价劣质感，相反农夫纯净水不算差，能打的也比较多，市场铺货也做得好，农夫美国户口也确实印证了中国的一个现象，多少达官显贵下一代都是外国人，草民羡慕，但是应该唾弃！但是其他方面也真没必要动不动就扣反贼帽子了，娃哈哈有空任由民粹发酵吃这几颗糖不如想想怎么提升自己的产品质量口感和市场！娃哈哈对不起支持它的人！希望中国商战都能更君子一点吧！农夫也有点良知
收起
d",赞,今天09:27
5010670506740431,"来考古，大家当初不喝哇哈哈，到底是因为什么大家心里不清楚吗？反正我是因为哇哈哈比一边别的水贵
#农夫山泉#",赞,今天09:26
5010670372782340,"群众在网络骂一下农夫山泉，就被某些人说成国将不国、民粹、营商环境恶化、《你们只配吃三聚氰胺》。
不妨假设，如果美国最大饮料公司的老板改换中国国籍，美国会发生什么？美国会不会扯到国家安全，说中国人可能在饮料中下毒，强制最大股东卖掉股份退出经营？
到今天为止，中国是全球消费最自由、贸易最宽松的国家之一。
倒是美国，5G建设不能用中国产品，中国的起重机必须拆掉，tiktok被美国政客打压了一轮又一轮，连我老婆公司没啥技术含量的服装出口，现在都被美国人要求在越南生产，“我们要和中国切割”。
这时候就没有人喊营商环境了，没人喊民粹啦。
不是要把权力关进笼子吗？美国滥用公权打压中国企业怎么不关？
不是要尊重民意吗？民意与自己观点不合，怎么就成为民粹了？
至少在中国，官方没有公开谴责农夫山泉吧？官方没有说民企领导人、领导人儿子必须是中国国籍吧？我倒是看到一堆官媒为农夫山泉唱赞歌，
#谁在围剿农夫山泉#
。
“让老百姓说话，天塌不下来。”
#711便利店停售农夫山泉旗下产品#
#农夫山泉#

收起
d",7,今天09:26
5010668698207534,#农夫山泉#,1,今天09:19
5010667751080489,"看了
#农夫山泉#
近期的遭遇，感觉民营企业太难了。无心为谁辩护，只是在想现在攻击农夫山泉的这波人，当年有多少有参与了对
#娃哈哈#
的抹黑。当年娃哈哈也面临纯净水不如天然水，营养快线可以胶干的网暴。再想想国产的味精还有洗浴用品，在产品本身没有问题的时候，一场网络的喧哗就可以让头部企业元气大伤，甚至边缘化，这太恐怖了！
#民营经济#

收起
d",赞,今天09:15
5010667690263416,"#农夫山泉#
就一个国籍问题，现在来的及，这几天蒸发的，退都够了，还有找霉体圣选",赞,今天09:15
5010666429087970,"#农夫山泉 娃哈哈#
娃哈哈和农夫山泉之争
关注这个事件很久了 三月八日以前基本一边倒的支持娃哈哈 现在不少科技博主和数码博主开始支持农夫山泉 有人说是买了农夫山泉的股票 有人说是给了“狗粮” 我觉得最关键的一点是国籍的问题 都知道国家的方针是先富带后富 现在先富的人都给自己铺好了路 准备随时跑 这也是大家最愤愤不平的 在老百姓看来你改了国籍 钱就不是中国的了 又有人会说可口可乐也是外国公司 怎么不反对 可口可乐拿到的经营政策能和农夫山泉一样吗 这就像把可口可乐比喻成客人 农夫山泉是自己的儿子 虽然我也用好酒好菜待客 但真正的家底留给儿子了 最后发现儿子认别人做爹 所以才会愤恨
先富的人 不想共同富裕 这是当年制定先富带后富遇到的最大问题 所以很多人怕被认着地主 怕斗地主怕削藩 所以后路都铺好了
先富带后富 其实是让渡了资源给一小部分人 让他们先好起来 然后拉一把手 这就像小时候家里穷 老大辍学 供老二 老二也有能耐 出了头后六亲不认 说自己是靠努力上去的 虽然农夫山泉没有六亲不亲 但是国际问题就像是认了个干爹
其实毕业以后至今有十来年了 几乎没喝过娃哈哈的水 因为少 偶尔会喝农夫山泉 这种情况只发生在没有买到怡宝的情况下
不是想踩谁或者顶谁 如果说这是一道选择题 必须二选一 我会选娃哈哈 毕竟我这种小老百姓的认知就是能到这 那有人会说 怡宝娃哈哈都是两块 农夫山泉五毛 你选哪个 这还用问 那必须是农夫山泉 那我是墙头草了吗 认别人做爹了 就别在亲爹着拿政策了 换句话说你现在的价格 是认爹后价格 就不配和娃哈哈平起平坐 是这个理吧
收起
d",赞,今天09:10
5010665756431492,"你手机只用华为，水只喝娃哈哈，泡面只吃白象，鞋子只穿鸿星尔克，但凡你不支持的企业和别家粉丝，都扣上各种大帽子，你主子的敌人就是你的敌人
每个的人生都是有他自己选择权利，你们都会有美好未来
#农夫山泉#",赞,今天09:07
5010664693961580,"#农夫山泉#
发现一些没逻辑的网民真容易煽动
但东方树叶怎么也没降价",赞,今天09:03
5010664563934010,"农夫山泉
#农夫山泉#",赞,今天09:03
5010664080281355,"#农夫山泉#
就没人记得他福岛桃子的事情了吗，这可比那些捕风捉影有意思的多",赞,今天09:01
5010663666355070,"#农夫山泉#
关于农夫山泉，我只能说你我活在鹅城，还要去判断农夫山泉是吃了一碗粉还是两碗吗？这事还是给胡万去说吧，毕竟，我们都不是“皇家人”",赞,今天08:59
5010663019908438,"我发表了头条文章:《
#农夫山泉 #
反对网络暴力#反对网络谣言》
O
#农夫山泉 #反对网络暴力#反对网络谣言",5,今天08:57
5010662877301853,"今天心情好，整点东方树叶
#农夫山泉#",赞,今天08:56
5010661223958356,"#农夫山泉#
【故技重施，又给人造谣，抹黑。令人不齿。】
L
兰斌强的微博视频",75,今天08:49
5010659282781164,"我不认为“娃哈哈”和“农夫山泉”有优劣之分，往往逮着谁就买谁。
然而，在品质差不多的情况下，谁更有国家情怀，谁更有民族情怀，谁更会做人，老百姓就更愿意买谁的产品，这也是说得通的道理。
“今天过节不送礼，不送花，只来一瓶娃哈哈”！
#农夫山泉 娃哈哈#
#农夫山泉市值暴跌2800亿#
#钟睒睒#
#宗庆后#

收起
d",1,今天08:42
5010658819047502,"周末。
商店有促销。
买了3箱农夫山泉的NFC橘子水，还有有点甜的矿泉水。
好喝。
喜欢的就买。
TMD
#农夫山泉#
#好喝的NFC果汁#",1,今天08:40
5010658773173020,"#娃哈哈#
和
#农夫山泉#
真正的矛盾在此。",2,今天08:40
5010657994867626,"#农夫山泉#

一群若枝魔怔东西，平时满口打倒小日本，梧桐抬弯，问你日本海上自卫队兵力配置部署情况答曰不知道，问你台湾海峡水文情况答曰只上过语文课，听见团结合作就犯PTSD，政府为你安全封个城你能把政府骂成纳粹，为了一公分的摊位大打出手，四个人的寝室建五个群，看见女的嘴里喷奋心里想超，看见公职人员出事比安倍死了还高兴，政府的政策跟你们不一致马上“毛主席说过...”到扫黄了又开始“生活不易”（扫黄也是毛主席提出来的），官方苦口婆心辟谣就复制粘贴你法我笑，自媒体说吃史能养生撂下手机就给马桶砸了，钻法律空子扰乱社会秩序然后高呼“法无禁止皆可为”，问大陆法系和英美法系的差异回答一个在中国大陆使用一个在英国和美国使用的东西
也就能在法治社会里找个理由欺负欺负比自己还弱势的群体，在烧烤摊上动动嘴皮忽悠中专小妹，小鬼子真打来了这群老百姓绝对是第一批当伪军的料
收起
d",1,今天08:37
5010657533232419,"#农夫山泉#

这个世界终于颠成我想要的样子了
我就喝我就喝我就喝，",2,今天08:35
5010656874988103,"#农夫山泉#
有没有爱国者送我点农夫山泉喝，别倒了，多浪费资源，我愿意替农夫山泉消除罪孽。私信我，我给地址，有多少要多少",赞,今天08:32
5010656691225171,"【黑料大起底，农夫山泉和钟睒睒触动了什么？】
#殷思源#
#农夫山泉#
#农夫山泉 娃哈哈#

L
殷思源的微博视频",赞,今天08:31
5010656450840468,"#娃哈哈#
#农夫山泉#
经常出差对这两个牌子非常熟悉。后备箱饮用水常备农夫山泉，因为好买，即便是偏远乡镇也非常常见。另外我对天然水也有一点小小的青睐，家里以前常囤怡宝纯净水我还担心爸爸妈妈常喝缺乏矿物质。而娃哈哈是我们非常珍贵的实验用水，品质近乎于蒸馏水，21年春天进淖取样前跑遍了镇上所有小卖部买上足够的娃哈哈纯净水。从水质来说各有各的突出优势。
从最近的市场纷争看，营销手段是把双刃剑，农夫山泉之前引以为傲的营销策略竟然在一夜之间瓦解了，而娃哈哈方获得的信任是长期维持积累下来的。
2
巴彦淖尔·塔班阿拉达

收起
d",赞,今天08:30
5010654145282217,"今天理发店的托尼要忙的飞起啊，也希望娃农大战可以告一段落，回归正常生活！！！
#二月二龙抬头#
#农夫山泉 娃哈哈#",赞,今天08:21
5010652127821989,#农夫山泉#,赞,今天08:13
5010651971586258,"#谁在围剿农夫山泉#
#非常可乐#
#农夫山泉 娃哈哈#
#团子之爱#
#娃哈哈#
#农夫山泉创始人曾是娃哈哈代理商#

每日一发，小心躲避
农夫山泉旗下产品：饮用水：天然矿泉水、充气天然矿泉水。茶饮料：东方树叶、茶π、农夫山泉打奶茶、TOT红茶。功能性饮料：尖叫、力量帝维他命水。咖啡饮料：炭仌咖啡。果汁饮料：农夫果园、水溶C100、NFC果汁、17.5°橙、17.5°苹果等。万泰生物（HPV疫苗等）、养生堂有限公司。
收起
d",1,今天08:13
5010650244579450,"#农夫山泉#
先别说农夫山泉了，农夫山泉的这些情况还都是“莫须有”。
而实打实的庇护和慰问刺杀香港警察的凶手的维他奶，如今破产了吗？你去身边的超市看看，维他奶的产品是不是还好好的摆在货架上呢？
还没两年呢，大家把维他奶的事儿给忘了？",5,今天08:06
5010647356018111,"#农夫山泉#
笑死，在说民粹哦，老百姓不能有自己的想法和声音呢，也不全对，是不能有爱国的想法和声音，否则就是民粹哦
不喝农夫山泉就要戴上民粹的帽子，太可怕了！这锅也太大了吧，什么新时代的独裁纳粹啊！能不能有言论自由？能不能给人选择喝什么的自由啊！不喝农夫山泉有罪啊！是民粹啊！！",2,今天07:54
5010645826668289,"娃哈哈发《致全体销售人员的一封信》，是一个很不合时宜的决定，也是娃哈哈重要的历史拐点。
#娃哈哈#
#农夫山泉#
#农夫山泉 娃哈哈#",赞,今天07:48
5010645655226301,"享受国家红利发展起来的企业，本身是要肩负先富带动后富的国家重任的。然而，像恒大许老板之流，不仅不做有利于国家和人民的事，眼看两万亿债务轰塌，不想方设法弥补万一，拯救一个烂尾楼，让购房者脱离苦海，想的却是如何再压榨一点财富，转移国外，供妻儿挥霍，真是触目惊心啊。民营企业家，不爱国，不爱民，老百姓凭什么支持他们，国家要打造营商环境，不随意处置企业。但老百姓有自己的选择权，民心向背，逆潮流者，当弃之。
#农夫山泉#

收起
d",2,今天07:48
5010645215347711,"#农夫山泉#
其实抵制农夫山泉的生物也是可怜虫，它们不过是一群被人操控的自闭症患者而已",赞,今天07:46
5010644552648093,"一些自媒体恶意解读外包装，导致销售股价下滑，这些大企业的律师团队是怎么搞的。
之前有不少恶意解读地铁站装饰等，官方免争执，居然换了，为什么要向无良自媒体低头，这是放弃正义的第一步，才有现在的到处乱象。看到凡是像一点日本元素就开始兴奋，开始对国人诋毁。这跟“某卫兵”何其相似，任其发展，便是藐视法律。
#农夫山泉#

收起
d",赞,今天07:43
5010644279231278,"在抗日神剧、穿越剧投喂中长大的一代人，成就了今天农夫山泉、娃哈哈舆论事件。种豆得豆、种瓜得瓜。
#农夫山泉 娃哈哈#",1,今天07:42
5010642140136404,"娃哈哈和农夫山泉事件，主播们和媒体都是为了流量制造矛盾和焦虑而造成的，这种事件往往是为了吸引关注和增加点击量而制造的，媒体和主播为了吸引更多的观众和粉丝，会选择报道和炒作一些具有争议性或者引起话题的事件，而一些品牌也会趁机加大宣传和炒作力度，以获取更多的曝光和关注度，然而，对于消费者来说，需要理性对待这些事件，不能盲目跟风或者轻信传言，需要从多个渠道获取信息和评价，做出明智的消费决策，有些部门该出来管管了，不能把个人流量转移到企业矛盾，更不能因某种不良行为助长社会矛盾。
#余俊安政治经济研究#
#娃哈哈与农夫山泉#
#娃哈哈事件#

农夫山泉超话
#农夫山泉#
#部分自媒体不择手段炒作社会热点事件被处理#

收起
d",赞,今天07:34
5010640932176135,"#农夫山泉#
很少买它家的矿泉水，喝起来感觉有点甜甜的不是那种无色无味的味道，一般我都是买怡宝和百岁山比较多，娃哈哈的矿泉水我们这的便利店就没看到过，只在小时候喝过。",赞,今天07:29
5010640185327998,"#哇哈哈 农夫山泉#

哇哈哈和农夫山泉这两天在互联网逐渐离谱的斗争，本来也没啥意思，但是今天看到条新闻彻底崩不住了啊！江苏常州711宣布由于农夫山泉涉日，于是暂停销售所有农夫山泉。这就好比凯迪拉克骂特斯拉是美国的，宋江骂林冲是反贼啊……笑晕过去了要
#今年二月二真有龙抬头#

收起
d",3,今天07:26
5010638288191632,"全社会都在向低智人群低头。明明知道这是一群脑残生物，见谁咬谁，但是没人敢收拾它们，因为它们数量庞大，已经成了势了
#农夫山泉#",赞,今天07:18
5010637045104935,"夷医夷喵之邪
全民盘农夫山泉万泰生物毒蛇
#国家安全#
#健康中国#
#科技与狠活#
#疫苗#
#西医#
#九价hpv#
#农夫山泉#

农夫山泉超话
#中医#",8,今天07:13
5010636919014257,"#农夫山泉#
这场反智的闹剧何时休？",8,今天07:13
5010636324996935,"#农夫山泉 #
#快手#

@快手

L
欣悦娱乐的快手视频",赞,今天07:10
5010635988140850,"设计团队，辛苦了！
#农夫山泉 #
#快手#

@快手

L
娜种声音的快手视频",赞,今天07:09
5010635486396917,"娃哈哈只是卖断货了吗？不，是赢得了所有国人的心
#娃哈哈 #
财女安琪
#农夫山泉 #
#快手#

@快手

L
财女安琪的快手视频",赞,今天07:07
5010634435200772,"降价打折促销,就会有人抢购,这种场面,至少在郑州没有出现,农夫山泉想挽回市场,看来不是那么容易
#郑州 #
超市
#农夫山泉 #
农夫山泉深陷争议 #打折促销
L
紫鹊界罗阿哥带你看世界的微博视频",3,今天07:03
5010633340748699,"#成毅#

#肖战#

#普通男人如何变帅#

#今天穿什么#

#带着微博去旅行#

#农夫山泉#

#谁在围剿农夫山泉#
农夫山泉出来給图片避个谣呗 拒絕农夫山泉！",14778,今天06:59
5010632568473079,"给哈佛大学捐款一个亿、给日本捐款5000万、给甘肃省捐了24000瓶水。一瓶水1元，给甘肃捐了2万4吧，首富没有一个小网红捐的多。
给国外疯狂捐款，可对于国内，要么不捐，要么就是几瓶水钱，真的吗？
#农夫山泉#
出来辟谣啊。",323,今天06:56
5010631363396115,"#农夫山泉#
农夫山泉这事，像不像以前的莲花味精，前年的海天酱油，毕竟，只要把一个行业巨头搞完蛋了，蛋糕足够下边的其他品牌分上几十年的。",赞,今天06:51
5010628377051925,"最近看到农夫和哇哈哈的热搜，这么多年为什么好多企业都要玩水的赛道，就是因为首先水是生命之源，身体必需品，其次利润可观。我们知道一立方米的水相当于1000升，按照目前的自来水价格是3元一立方米，一瓶纯净水500ml算，一瓶的毛成本才是0.0015元。可观的利润以及庞大的需求量，成为各大公司想要争抢的赛道。
#农夫山泉#
#哇哈哈#

收起
d",赞,今天06:39
5010627866657683,"网友：农夫山泉事件的合理解释，不非黑即白，实事求是！
挂着中国品牌的旗子，赚了几千亿成为中国首富，最后这钱全给美国人，就这点，很多国人就接受不了的。
网友：合法所得没毛病啊，但是现在越来越多的人看不惯这种国内赚钱国外花的做法了啊，对比之下娃哈哈的伟光正一下子更加高大了。所以民众用行动投票，能选娃哈哈就不选农夫，你有你的国籍自由，我有我的消费自由，有毛病吗？
#农夫山泉#

收起
d",6,今天06:37
5010627216540457,"#农夫山泉 #
运动
#健身 #
#快手#

@快手

L
运动医学李教授的快手视频",赞,今天06:34
5010623476007438,"“农夫山泉援建🇯🇵福岛核电站，核饮用水生产线顺利投产”！太可怕了，想灭谁！❌
#农夫山泉#",赞,今天06:19
5010618270351479,"我很难想到有一天，喝水都能跟爱不爱国扯上关系
#农夫山泉#",3,今天05:59
5010611052740744,"清爽荷叶DLu: 农夫山泉的未来走向是什么？
#农夫山泉#
娃哈哈#宗庆后
O
网页链接",赞,今天05:30
5010610449023290,"清爽荷叶DLu: 贝莱德投资中国企业列表
#农夫山泉#
娃哈哈#宗庆后
O
网页链接",赞,今天05:28
5010607395308135,"清爽荷叶DLu: 农夫山泉如果这次破产了你会怎么看？农夫山泉时代结局
#农夫山泉#
娃哈哈
#宗庆后#
钟睒睒  #娃哈哈
O
网页链接",赞,今天05:15
5010605086081273,"抵制农夫山泉，
#农夫山泉#
抵制钟睒睒",赞,今天05:06
5010603032969410,"【屁屁果的动态】农夫山泉下架，那个时代又来了吗。。
政府不作为 甚至默许这种风气 从各种所谓的爱国大V 到商场地铁的日本元素 再到莫言。。。农夫山泉不是第一个 但也绝不是最后一个
极端民粹主义泛滥 又逢经济下行 名人名企首当其冲成为宣泄的对象 那个人人自危的时代又要回来了
#农夫山泉#

O
网易新闻
来自
@网易新闻客户端

#网易新闻#

曹癣2.0升级版，，
希望不要被我说中，，，
不过，从各项决策来看，，，有这，，
收起
d",赞,今天04:58
5010602183623244,"程维高起步的地方…全国公交车出名…常州恐龙园…常州还有个武进区，貌似很有钱…
@记录者胡新成2022

@陈洪涛V

#不忘初心#

#大病免费医疗、你我每日一呼#

#农夫山泉#",4,今天04:55
5010601903916143,"O
官媒浙江宣传发声：爱国情怀岂能这样消费

#新闻#
#超话#
#本地新闻#
#同城#
#农夫山泉#
#浙江#",赞,今天04:54
5010601124037377,"#农夫山泉#
#谁在围剿农夫山泉#

天作孽，犹可违。自作孽，不可活。",赞,今天04:51
5010580339687653,"娃哈哈营销部是干保密工作的，还有多少是我没见过的[捂脸][捂脸][捂脸][捂脸][捂脸]
#农夫山泉#
#东方树叶#",6,今天03:28
5010579553780493,"#农夫山泉 娃哈哈#

给农夫山泉洗地的官媒是什么成分？
达官显贵和资本豢养的看家狗罢了
很典型的有奶便是娘的玩意儿。
娃哈哈早在十几年遭受无妄之灾被黑的时候，
这群玩意儿出来叫了一次吗？",2,今天03:25
5010575874589204,"“农夫山泉援建🇯🇵福岛核电站，核饮用水生产线顺利投产”！太可怕了，想灭谁！❌
#农夫山泉#",58,今天03:10
5010575191704250,"#农夫山泉#
脑缠顺殖粉红",1,今天03:08
5010575027077405,"#农夫山泉#
是啥情况？
我咋看着有点迷惑",1,今天03:07
5010573920567930,"越闹越大！农夫山泉开始降价“反击”娃哈哈！
#农夫山泉#
#钟睒睒#
#娃哈哈#
##快手#
@快手

L
赵旭之的快手视频",赞,今天03:02
5010568471642450,"农夫山泉老板儿子是美国人没得洗？我想问这有啥“好洗的”？只要他儿子没做作奸犯科的事，就算是日本人我也该买买。
现在有一股氛围，一群打着爱国旗号的臭傻 x 到处找茬，只要“爱国”就能肆无忌惮。这是为了中国好吗？不是，是为了流量，或者单纯想参与一下弄死“资本家”的狂欢而已。
按照他们的逻辑。那些不买农夫山泉的，也别吃海底捞，创始人都不是中国人了。哦对了，华为手机也慎用，老板女儿之前不就常住加拿大嘛，那是美国走狗！
#农夫山泉#

收起
d",赞,今天02:41
5010568346337405,"农夫山泉部分包装含有日本文化元素惹争议，这是巧合还是另有隐情？
#农夫山泉 #
2024财是机会
#市井里的致富经 #
#快手#

@快手

L
蛋解创业的快手视频",赞,今天02:40
5010567581925594,"#农夫山泉#
的近期种种问题，可以说是资本的炒作和打压，可以说是来自
#娃哈哈#
发酵的波及，甚至其宣传图片都可以说是立足于人类文明之类的。但是作为消费者，我最难以接受的是这么多年来，
#农夫山泉#
用的是低于国标的地方标准，而自己还是标准制定的参与者。是否是矿物质水都已经不敢奢望了。
最近开始看到为农夫山泉发声的文章，不能说因为宣传图片和创始人的故事就去打击一家企业，但是他们为农夫山泉正名的同时，能不能也解释下这个标准的问题，能不能也说一下现在的水到底是不是天然水。
收起
d",赞,今天02:37
5010567393706297,"#农夫山泉#
虽然我不怎么喝农夫山泉，但是网上大傻春怎么这么多？哈哈，真有趣。",赞,今天02:37
