时间,文本,识别结果,消极概率,积极概率,IP地址
2024-04-23,老祖宗都知道门当户对，大部分被洗脑的女性只能说很难绷，这俩年不是出了新闻吗？把人家富哥的车喷漆，然后幻想富哥爱上她结果被富哥告法庭了,消极,0.98,0.02,广东
2024-04-23,乃万,消极,0.85,0.15,安徽
2024-04-23,祝99十八胎,消极,0.67,0.33,吉林
2024-04-23,"和我一起打鼓击退啵刚恶魔嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁",消极,0.96,0.04,福建
2024-04-23,支持，有什么问题？两个人共同进步共同扶持，这不就是最好的？小仙女们急什么？,消极,0.97,0.03,广东
2024-04-23,xxn这个群体真是这个社会的毒瘤,积极,0.19,0.81,上海
2024-04-23,杜绝女舔狗 真给女人丢脸,消极,0.76,0.24,天津
2024-04-23,其实长相真的不是最主要的。,消极,0.97,0.03,上海
2024-04-23,网上女权都是口嗨吗？我现实没见到,消极,0.98,0.02,江苏
2024-04-23,说好的ghg呢,积极,0.12,0.88,江西
2024-04-23,玛德大早上就刷到💩了 晦气,积极,0.18,0.82,广东
2024-04-23,虽然 虽然什么虽然直接开骂,积极,0.06,0.94,湖北
2024-04-23,说好的ghg呢,积极,0.12,0.88,广东
2024-04-23,要么你就狠狠地攻击之后把你的战果搬过来，要么你就把原帖放出来让兄弟们冲，搬一堆💩过来你是屎壳郎吗？,消极,0.99,0.01,上海
2024-04-23,👻男一样被男的骂，可能她就是女人眼中的👻男吧。不过我们男的可没说过 boy help boy，没她们这么矫情,消极,0.97,0.03,重庆
2024-04-23,"对于共同进步的伙伴，我们应该示以尊重。对于来自地狱祸害人间的波刚，我们应该拿出鼓来，赶紧敲起来。
龙龙我来敲鼓了",消极,0.99,0.01,江苏
2024-04-23,还是🐢男太多了给这群xxn惯出毛病来了,积极,0.2,0.8,四川
2024-04-23,在一个扭曲的社会，三观正就是原罪,积极,0.31,0.69,四川
2024-04-23,说实话我现在对性格的要求比长相高得多，能谈得来才是第一,中性,0.54,0.46,河北
2024-04-23,每当有人说正常女性更多，我就会把这个给他看,积极,0.05,0.95,江苏
2024-04-23,遇到这种我一般都直接砍,消极,0.97,0.03,湖北
2024-04-23,girls fack up girls,消极,0.86,0.14,广东
2024-04-23,几千年来👩不能当家是有道理的 要相信古人的智慧,消极,0.97,0.03,辽宁
2024-04-23,3,中性,0.48,0.52,山东
2024-04-23,3,中性,0.48,0.52,山东
2024-04-23,3,中性,0.48,0.52,山东
2024-04-23,S3,中性,0.41,0.59,山东
2024-04-23,3,中性,0.48,0.52,山东
2024-04-23,一提到结婚就联想到生育，带娃，家庭主妇，谁在自我物化不好说,消极,0.98,0.02,上海
2024-04-23,这个会同性称为🐢女吗,积极,0.17,0.83,广东
2024-04-23,照片这女的一点妆没画，而且还是原生镜头，打扮一下不丑的,消极,0.97,0.03,河北
2024-04-23,女生也冲女生得嘛？？ 好可怕 自己人冲自己人,中性,0.53,0.47,湖南
2024-04-23,放铜牛里烤火,消极,0.65,0.35,广东
2024-04-23,一群寄生虫罢了,消极,0.97,0.03,福建
2024-04-23,开除女籍了,积极,0.24,0.76,江苏
2024-04-23,永远叫不醒一个装睡的人，就让她们睡下去吧，也不是件坏事,消极,0.98,0.02,广东
2024-04-23,直接拉去菜市场砍头,消极,0.97,0.03,广西
2024-04-23,是我的失责,消极,0.77,0.23,河北
2024-04-23,说实话，小仙女就是一锅狗屎，搅进去能坏了一群人。我们上心理课时候讨论对爱情的价值观。班上的女生其实都挺正常的。在婚姻中想的都是大家一起付出平等，没有像老仙女那么极端,消极,0.99,0.01,宁夏
2024-04-23,自己胖的像波刚，然后说唐朝以肥为美，想着找帅哥男朋友，自己带专都考不上，然后说女大专等于男985，自己懒到啥活不干，天天说自己被**制压迫，自己下面两片烂肉都发黑还嘲讽男人小，刷视频是觉醒，看小说是觉醒，看电影还是觉醒，网络上共情能力比谁都强现实中自私自利唯利是图，xxn和正常女人的区别就是后者只有一个b而前者全身都是以至于她们无时无刻不在膏巢,消极,0.93,0.07,河北
2024-04-23,一群只会吸血的寄生虫破大防了,消极,0.98,0.02,广东
2024-04-23,主要问题是很多原先吃糠的指望着靠婚姻吃肉,消极,0.9,0.1,四川
2024-04-23,“天生就有爱人的能力”,积极,0.4,0.6,辽宁
2024-04-23,这批母的防御力有点低啊,消极,0.87,0.13,河北
2024-04-23,保护友军,积极,0.08,0.92,黑龙江
2024-04-23,肥珠就是害怕有智商有教养三观正的女生，这会把它们衬托的更加丑陋,消极,0.94,0.06,福建
2024-04-23,让她们窝里斗，我们看着乐,积极,0.38,0.62,广西
2024-04-23,3,中性,0.48,0.52,广东
2024-04-23,被冲就被冲呗，关你p事，以前给男性发声没流量的时候没见这些，现在跑过来恰流量了你还真以为她要给你发声啊？,消极,1.0,0.0,贵州
2024-04-23,3,中性,0.48,0.52,浙江
2024-04-23,评论区什么钢铁洪流,消极,0.89,0.11,四川
2024-04-23,还有叫渡边的日本狗在评论别人长相,消极,0.98,0.02,四川
2024-04-23,现在我们国家的社会文明进程高和体力劳动力减弱相比于古代好不知道多少，只要不是很偏僻很落后的地方，女性的地位已经很高了，不用一生下来就是商品和生育机器，跟一个正常人没啥两样，都有受教育的权利和自由选择的权利，但现在依我看还不如直接成商品和生育机器呢，身在福中不知福，天天想着特权，打拳，建议快进到大屠杀版本和老祖宗版本,消极,0.87,0.13,广东
2024-04-23,哪里一般了，我觉得就很好看，xxn不是为了混淆视听就颠倒黑白吗，我们为什么不可以，这美女人美心善啊，哪里一般了，灵魂加外表都是一绝啊,中性,0.48,0.52,山西
2024-04-23,3,中性,0.48,0.52,湖南
2024-04-23,人家可是要破坏女性的共同利益，能不急吗,消极,0.97,0.03,广东
2024-04-23,我奶奶16岁就和我爷爷结婚了，生了六个，我妈是大姐，一个大家族，最小的我舅舅都当上所长了，我妈跟我爸结婚的时候，我爸连一辆摩托车都买不起，晚上我妈生的时候，我爸都是骑自行车来的医院，现在我爸买了一辆奔驰车，搞不懂为什么生孩子和共同努力在某些人眼里就是那么难以接受,消极,0.98,0.02,辽宁
2024-04-23,怎么说呢，这个世界就是一个巨大的菜鸟驿站，里面充满了大件货、小件货，还有没有码的，撕了码的,消极,0.87,0.13,四川
2024-04-23,3,中性,0.48,0.52,浙江
2024-04-23,性别女。。。。我的体感是不装成女quan感觉自己在这个时代格格不入遇到的十个女的八个是女quan。她们话术是和我说男人没一个好东西，追男人时就轰轰烈烈最疯狂，被人家厌恶+拉黑（不会有人喜欢被一群疯狗追着吧）就开始侮辱人家嗐，想想就让人恶心。。,积极,0.19,0.81,上海
2024-04-23,说的没问题啊，真仙女舍身炸分坑了。再说了，对男性要求高不是不可以，xxn也得看看自己有没有这条件啊,消极,0.97,0.03,北京
2024-04-23,那个正常姑娘 天天抱着个手机高强度刷微博对线,积极,0.05,0.95,河北
2024-04-23,这“男”凝搞得怎么就先评价外表了,消极,0.98,0.02,中国台湾
2024-04-23,我只能说吧 其实这压根不是男女对立 而是智力上的差距导致的认知不同 谁敢说咱孙吧没有nt 没有低俗恶臭的人 那些看到别人照片就开始臆想的人 是不是 有认知有思想有道德的人不分男女 沙壁也是,消极,1.0,0.0,山东
2024-04-23,他这话说的也没偏袒谁啊，怎么就gc了，这些xxn都是臭虫吗整天戾气那么大,消极,0.94,0.06,广东
2024-04-23,"货拉拉那事网上女的大都同情跳车女谴责司机，而我身边无论男女大都更同情司机。
后来我想大概有两个原因。
1是网络上性别矛盾愈演愈烈，导致很多人只看性别不看具体事情。
2是男女网友的构成有很大不同（热衷于在网络平台表达意见的网民，生活条件特别好的和个人能力非常强的人无论男女都很少在网络平台下发表评论，除非是那种商业营销性质的；最底层那种也较少发声，上网看个段子看个电影，乐一下就完了。）
由于生长环境和刻板印象的关系，女性网友比男性网友要少很多。
这就导致男性网友中，占比最高的人群是劳动人民。这部分人在生活中也是最多的。
而女性网友中小资人群的占比就高了很多。
这两类人的观念自然有很大不同。",消极,0.98,0.02,吉林
2024-04-23,微博吗？那就不奇怪了本来就是小仙女的聚集地没一个正常的,中性,0.45,0.55,河南
2024-04-23,在吗,消极,0.76,0.24,江苏
2024-04-23,娶妻娶贤，外形么看得过去就行,积极,0.35,0.65,云南
2024-04-23,8u是看不懂别人说话的，都是说男的看不上她谁说她丑了。孙吧都要靠偷换概念了吗,消极,0.98,0.02,北京
2024-04-23,真给我们女生丢脸,消极,0.94,0.06,广东
2024-04-23,不好意思男的结婚还真不是太注重外表只要能带出去就行，当然这是普通男性标准,消极,0.98,0.02,江苏
2024-04-23,这个女生三观挺正啊,中性,0.49,0.51,陕西
2024-04-23,1,中性,0.42,0.58,辽宁
2024-04-23,2,中性,0.52,0.48,辽宁
2024-04-23,3,中性,0.48,0.52,辽宁
2024-04-23,我是一名小胡子玩家，但我的打法却和秽土斑差不多，开局两个技能摸奖，打到了就起跳拉扯，对面替身打到就替身水枪追杀，每次我打出蹭豆甚至蹭双豆大招时我都会感叹小胡子是最杨戬的，最要操作的忍者。,消极,1.0,0.0,安徽
2024-04-23,本来就是啊，一个个慕强的那么猛 就喜欢男的多金深情，做到平权的第一步是每个性别都应该承担相同的义务吧,消极,0.86,0.14,浙江
2024-04-23,这妹子化妆，颜值百分百能打败这群评论的Xxn，评论的基本上属于又丑有老，没人要的这种东西，上来就各种要求，被拒绝之后，各种破防，只能在网上喷比它们正常的人，找找存在感了,中性,0.41,0.59,广东
2024-04-23,也算是是众婊皆醉她独醒了,消极,0.96,0.04,河南
2024-04-23,由此可见，xxn的拳打的都是人，额自己当然不会打它们自己，毕竟不是—,消极,0.98,0.02,江苏
2024-04-23,🤣,积极,0.22,0.78,福建
2024-04-23,3,中性,0.48,0.52,湖南
2024-04-23,我现实里面认识的一个小仙女220斤,消极,0.96,0.04,江苏
2024-04-23,对女性的要求，我可去你🐎的，从小学校教育让女的帮女的，社会教育女士优先，有好处了就优先，有事就男的来做，我要求吗呢？,积极,0.24,0.76,浙江
2024-04-23,难怪封建压迫几千年，情有可原,消极,0.95,0.05,江苏
2024-04-23,微博啊，那正常了,积极,0.06,0.94,广西
2024-04-23,微博？那不就是厕所吗？卸载好多年了，一群打拳脑残,消极,0.94,0.06,湖北
2024-04-23,xxn攻击她的长相，但是不看自己的长相。自己长得和铸币一样，还唧唧歪歪叫上了,消极,0.98,0.02,江苏
2024-04-23,所以我看到在哭诉被男人骗财骗色的那帮弱智女一点提不起同情心,消极,0.9,0.1,江苏
2024-04-23,欠拴了,消极,0.96,0.04,
2024-04-23,使人脖起,消极,0.82,0.18,
2024-04-23,现实遇到这种大脑有损伤的xxn，上去就是一拳,积极,0.14,0.86,
2024-04-23,3,中性,0.48,0.52,
2024-04-23,劣批驱逐良批 哎…,消极,0.9,0.1,
2024-04-23,在,中性,0.46,0.54,
2024-04-23,不是吧？人家长的不丑啊？还什么在男的眼中达标不达标？,消极,0.98,0.02,
2024-04-23,音道不正三观也不正,消极,0.96,0.04,
2024-04-23,别的不说，就这个女生的三观已经比那些小仙女好一万倍了,消极,0.93,0.07,
2024-04-23,该冲，狠狠冲，谁tm要跟她共同进步，她也配?本事没有想拿个共同进步的幌子来分蛋糕是吧,消极,0.98,0.02,
2024-04-23,几个菜啊就喝成这样？,消极,0.86,0.14,
2024-04-23,现在女的都是网络公主，没到那种逼格偏要装逼格,消极,0.97,0.03,
2024-04-23,3,中性,0.48,0.52,
2024-04-23,3,中性,0.48,0.52,
2024-04-23,3,中性,0.48,0.52,
2024-04-23,在3,消极,0.69,0.31,
2024-04-23,3,中性,0.48,0.52,
2024-04-23,难得遇到一个清醒点的女性，不过评论区真是充分展现了女人对女人的恶毒,消极,0.94,0.06,
2024-04-23,"事实胜于雄辩，但雌辨胜于事实，脂肪压迫了声道，大脑连接了欢乐豆，一动脑就爽死了，银地链接大脑，高朝代替思考,摘蘑菇没洗手我看是扣出幻觉了，读的书叠起来没有音醇厚，下回发言之前把紫色心情调最大档插脑子里震震，也算是说话前动了脑了",积极,0.08,0.92,
2024-04-23,我不明白现在有些xxn是怎么了？说句不好听的，自己有过多少破事，还要求男方条件要有多好多好。互相扶持，一起努力，还tm的成吃糠的了。笑死。真的很神金。一起努力也没概括说女性就得包揽全部家务啊。都是普通人，真还想过少奶奶生活啊？癫婆,消极,0.95,0.05,
2024-04-23,性别一转是要被骂🐢男的,消极,0.96,0.04,
2024-04-23,上桌吃饭导致的，建议拿链子拴起来打一顿就好了,消极,0.68,0.32,
2024-04-23,眉男♀,积极,0.16,0.84,
2024-04-23,评论区这冢我直接刺死剑气,积极,0.33,0.67,
2024-04-23,有些xxn真的不撒泡尿照照自己，优质男性凭什么看上你，不想跟男生吃苦，只想坐享其成，先问问自己凭什么。,消极,1.0,0.0,
2024-04-23,说两句真话还不愿意了？,消极,0.98,0.02,
2024-04-23,3,中性,0.48,0.52,
2024-04-23,人家敢素颜,积极,0.24,0.76,
2024-04-23,3,中性,0.48,0.52,山东
2024-04-23,3,中性,0.48,0.52,山东
2024-04-23,还是有正常女孩子的，挺好的,积极,0.05,0.95,河南
2024-04-23,是的是的，集美们再等等，你们值得更好的,积极,0.05,0.95,广西
2024-04-23,****，真是小13运紫色心情漏洞吧碧水冲进易，啥都能喷啊,中性,0.46,0.54,河南
2024-04-23,不知道，反正我现在走极端派了，图里这娘们也不是啥号东西,消极,0.97,0.03,河南
2024-04-23,3,中性,0.48,0.52,湖北
2024-04-23,宁缺毋滥就行了，何必跟它们计较,积极,0.23,0.77,四川
2024-04-23,这妹子长得很一般，可能就是没人舔导致三观比较正常吧,消极,0.6,0.4,广东
2024-04-23,断人财路犹如杀人父母,中性,0.59,0.41,山东
2024-04-23,3,中性,0.48,0.52,山东
2024-04-23,3,中性,0.48,0.52,山东
2024-04-23,3,中性,0.48,0.52,山东
2024-04-23,4,消极,0.64,0.36,山东
2024-04-23,当其他xxn开始攻击她的长相的时候，她们就已经输了,中性,0.57,0.43,湖南
2024-04-23,3,中性,0.48,0.52,浙江
2024-04-23,小仙女的比是用来赚钱的不是用来下崽的，搞清楚点,积极,0.21,0.79,江苏
2024-04-23,女权就是贪婪，恶毒，反智的代名词,消极,0.64,0.36,江苏
2024-04-23,社会问题，,中性,0.59,0.41,广东
2024-04-23,为什么为男性发声在她们看来就是男女对立爱男媚男呢？为女性发声的也不在少数评论区从没这样啊,消极,0.98,0.02,河南
2024-04-23,我们女孩天生就有爱人的能力,积极,0.04,0.96,浙江
2024-04-23,333333333333333333333,消极,0.98,0.02,陕西
2024-04-23,xxn是这样的 ，还没结婚就开始觉得自己是虚空保姆了~会任劳任怨照顾男方家庭的虚空孩子和30年后的老年父母了，实际情况是她会干个屁~,中性,0.52,0.48,浙江
2024-04-23,给姐姐点赞，本来这个社会就需要说真话的人,积极,0.04,0.96,安徽
2024-04-23,说实话现在这个社会对男生的压力不大吗？买房买车彩礼养老四个大山，现在的物价有多贵懂得都懂，光是前面三个都得一百万起步了，一个普通大学刚毕业的男生得奋斗多久才能赚到100万啊，平常还有日常开销，能剩下的钱就那么一些，我真的不懂女生除了养活自己有什么压力，这些人到底在自我gc什么,消极,1.0,0.0,福建
2024-04-23,这年头，也就女的逛微博了，茅坑一样的地方,中性,0.55,0.45,广东
2024-04-23,说实话，光靠签到升级太慢了，所以我就 复制了这段话遇评论就回，一次最少也得15 经验值，而且还能保证我的帖子不沉。,消极,0.97,0.03,湖北
2024-04-23,呃呃笑嘻了，前几天还在孙吧看见这个，下面全是嘲这个女生长得丑的，反转太快了吧,积极,0.12,0.88,四川
2024-04-23,女的都该私,消极,0.9,0.1,广东
2024-04-23,女人大多还是精致的利己主义者，不过精致不精致就不知道咯,积极,0.07,0.93,湖南
2024-04-23,防跟膜一样容易破,消极,0.78,0.22,山东
2024-04-23,我们xxn生来就会爱别人,积极,0.04,0.96,湖北
2024-04-23,三观不正开始攻击五官,消极,0.97,0.03,广东
2024-04-23,不应该是两个人共同变得更优秀吗,消极,0.97,0.03,江苏
2024-04-23,girls help girls,消极,0.96,0.04,湖北
2024-04-23,不明白骂她的xxn到底在急什么，是她在结婚又不是逼xxn们结婚，观念不合不同就划走不看呗，都说走自己的让别人说去而xxn连这点觉悟都没有，一定要喷点诸如mu🐷之类的脏话，什么仇什么怨啊。,消极,1.0,0.0,福建
2024-04-23,去头可食,消极,0.92,0.08,黑龙江
2024-04-23,婚前要求男方有车有房 还得每月工资上交对她好。 没问题那我们娶老婆是为了干嘛？传宗接代 而不是为了找个祖宗供着。一不传宗二不干活三不伺候长辈 我凭啥花钱娶？一个个都说要做新时代独立女性一问会干嘛？会生孩子！,消极,0.98,0.02,山东
2024-04-23,我很奇怪为什么正常的女性越来越少了？别说人家长得还行，就算是世界第一丑有这种思维我也好过娶那些空有一副臭皮囊一天只知道吸血自己无能还沾沾自喜靠着两片蓝劈瞧不起这个瞧不起那个认为应该被全天下男人服务的蓝货,消极,0.8,0.2,山东
2024-04-23,这帮极端**为什么会变成这样啊，三观还是正常人吗,消极,0.95,0.05,河南
2024-04-23,333333,消极,0.96,0.04,四川
2024-04-23,额。。。？,消极,0.95,0.05,四川
2024-04-23,我要看10场王源演唱会缓一缓,消极,0.71,0.29,吉林
2024-04-23,女权就是辣鸡,中性,0.48,0.52,广西
2024-04-23,√石帖⑧，老⛰️评论,积极,0.12,0.88,福建
2024-04-23,这种时候顺着她们拱火就行了 让她们以为自己配得上迪拜样子不好吗,中性,0.44,0.56,云南
2024-04-23,又扔石头进猪圈了，🐷当然得叫了,消极,0.97,0.03,辽宁
2024-04-23,3,中性,0.48,0.52,陕西
2024-04-23,上桌吃饭导致的,消极,0.64,0.36,湖北
2024-04-23,真该死,消极,0.97,0.03,安徽
2024-04-23,唯小人与女子难养,消极,0.96,0.04,安徽
2024-04-23,3,中性,0.48,0.52,湖北
2024-04-23,3,中性,0.48,0.52,湖北
2024-04-23,"精神是独立的
物质是依赖的
肉体是公用的
灵魂是真爱的",积极,0.07,0.93,江西
2024-04-23,果然仙仙破防攻击同类是最狠的,中性,0.53,0.47,广东
2024-04-23,"灵魂是自由的
人格是独立的
经济是依附的
肉体是公用的
三观是没有的
觉醒是必须的
定义是不被的
孩子不是对象的
私信是要关的
不好的评论是会删的",消极,0.86,0.14,广东
2024-04-23,实际上现在没啥人想生小孩，都是父母那一辈的要求罢了，没了父母的压力根本没必要生小孩，没了生小孩你女人少了一半的家庭职能，如果大家一起养家还好说，你要男的又赚钱又照顾家庭，那你基本上不就是把自己带入主妇的位置了，而现在的环境又不需要主妇，你也不愿意做主妇，那你凭什么要求男人负责更多,消极,1.0,0.0,广东
2024-04-23,美图滤镜修图软件收费，仙女会大量减少,积极,0.35,0.65,北京
2024-04-23,看菜下B罢了,消极,0.94,0.06,江苏
2024-04-23,看菜下👃罢了，要是有缘认了主人保证完满达成壬申任务，婚内孕什么的都只是小菜一碟，管她网上多嗨主人一掉下去就老实了,消极,1.0,0.0,江苏
2024-04-23,责任最少要求最高，这儿当代睦畜基本盘,积极,0.35,0.65,山东
2024-04-23,黄钟毁弃，瓦釜雷鸣。,消极,0.72,0.28,山西
2024-04-23,3,中性,0.48,0.52,辽宁
2024-04-23,微博，众所周知就是女厕所,积极,0.04,0.96,北京
2024-04-23,xxn还没开始就攻击长相了什么成分我不说,消极,0.97,0.03,湖南
2024-04-23,xxn就像绕着史飞的苍蝇，别人过来要把史清理掉，还以为别人要抢她们吃的，直接红温,积极,0.25,0.75,浙江
2024-04-23,就是说难道互相扶持不就是爱情的本意嘛，难道都要一方去吃一方的利益，婚姻本就不是利益，现在的爱情早就被玷污了，这个女的说的你能挑出那句话的不对，何况她的长相比只会才角落偷偷敲键盘的好多了，比那些化妆ps那么离谱的的不知道好多少。老一辈的爱情都是互相扶持相守一生，0.5+0.5，只能说女权同志收收自己的13，别到处喷粪现在看长相要微信，看收入奔着傍大款，xxn们自己啥也不是别太把自己当回事。就想着不劳而获了，你问问你母亲是不是也是不劳而获出来的，不劳而获还能遗传？,消极,0.99,0.01,北京
2024-04-23,正常人遇到恶魔波刚是这样的,消极,0.96,0.04,辽宁
2024-04-23,三观好还是更重要的，你就算长的一般相处起来好就行了，本来就是过日子的人早晚都会变老。,消极,0.98,0.02,山东
2024-04-23,"
”人类的悲欢并不相通，我只觉得他们吵闹。”",消极,0.98,0.02,吉林
2024-04-23,xxn的跌当时怎么就没给她们蛇墙上,消极,0.96,0.04,广东
2024-04-23,小仙女是这样的,消极,0.67,0.33,广东
2024-04-23,我们女生天生有爱人的能力,积极,0.05,0.95,安徽
2024-04-23,急眼了,中性,0.52,0.48,山东
2024-04-23,只能说太单纯了，那些功成名就之后抛弃糟糠之妻的大有人在，你和他共同进步，他只会再有钱之后对你嫌弃过来嫌弃过去，去找一个更年轻的，永远不要幻想那些不切实际的，只有将实在的抓在手里才是最重要的。恋爱可以理想，但是婚姻不行。,消极,1.0,0.0,重庆
