文本,识别结果,消极概率,积极概率,支持,反对,IP地址,评论者性别
保守的说是受众问题，近几年新番我看完的只有契约之吻和恋爱flops，魔法记录如果算的话，那魔法记录也是，其它的我甚至连看完都做不到不保守的说，那就是业界一年质量不如一年，技术上是进步的剧情上是退步的，罪恶王冠我都能看十遍往上，新番连看完都不想看，真不行,积极,0.2,0.8,1,0,河南,Gender.MALE
二次元遗老可不敢称自己为二次元，将近十年前还有可能。,消极,0.99,0.01,2,0,河南,Gender.MALE
不知道，我只知道打∠,消极,0.93,0.07,1,0,陕西,Gender.MALE
遗老看不惯现在的番也很正常，我最近能完整看下去的也就一个冰海战纪第二季,消极,0.99,0.01,0,0,河南,Gender.MALE
你叫现在的那些百合二次元去看我喜欢看的，他们也去看不惯。,消极,0.75,0.25,0,0,河南,Gender.MALE
伪娘男娘这种东西纯恶心人 南通就南通还得弄个高情商说法,积极,0.39,0.61,4,1,广东,Gender.MALE
摊牌了，就是要在不看动漫/动画、小说、漫画、二创，不听二次元音乐，不玩旮旯、AVG/文字冒险、二次元游戏，只玩二次元手游的人面前称二次元遗老，蒸馍，你不服气？,消极,0.8,0.2,5,0,天津,Gender.MALE
但是博人传确实垃圾啊,消极,0.94,0.06,1,0,内蒙古,Gender.MALE
一代人有一代人的遗老,消极,0.67,0.33,0,0,浙江,Gender.UNKNOWN
不要整天想这些有的没的了，大家都在以自己的方式享受二次元罢了,消极,0.99,0.01,0,0,广东,Gender.MALE
也不知道现在的二次元哪来的资格看不起二次元酒局,消极,0.98,0.02,1,0,福建,Gender.FEMALE
新番完全就是爽看，光明正大的称自己为二次元也没啥不好的，现在就是那句话“二次元，你要自信”，爽追新番十几年，以前俺也说二不起二不起，那时圈子小点每个人话语权也大。现在还在最先锋追番，有热情喜欢新鲜感的要是还把二不起二不起那才是可惜。,消极,1.0,0.0,2,0,浙江,Gender.UNKNOWN
遗老问题其中一个典型就是资历问题，有些时候非得论资排辈才能有说话的权利（譬如各种对线论战时），不然就一个“云小鬼”帽子扣下来，这时候要先给自己戴一个遗老帽,消极,1.0,0.0,1,0,湖南,Gender.MALE
扯淡，我在国外呆了很久了，日本，韩国还是墨西哥，西班牙，德国，美国什么的人都见过了，好的东西的永远是大家都喜欢的，我在美国时候遇到一个美国大学教授喜欢犬夜叉，还买了挺多周边的。,积极,0.34,0.66,1,0,日本,Gender.MALE
入坑后宫，多年以后还是后宫,消极,0.99,0.01,1,0,山东,Gender.MALE
玩一个游戏时间太长会适应不了其他游戏的操作，好在我是🐷脑，玩了三百个小时但已经把法环操作忘光了，不去刻意记才能有新感受？,消极,1.0,0.0,0,0,山东,Gender.MALE
"所有领域都是如此。
二次元遗老一般也不会自称什么二次元了，这会儿都是三十好几奔四十的人了。
到后面会出现领域细分的情况，有的人虽然是玩二次元但是他只玩胶。
有的人精通gal，有的人精通jrpg。
我也觉得厚古薄今非常愚蠢，但很多人确实会这样，的确有这种现象。",消极,1.0,0.0,1,0,广东,Gender.MALE
梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜梅琳娜,积极,0.02,0.98,0,0,河北,Gender.MALE
"我意识到互联网上真的换了一批人的时候大概就是有人开始捧我童年看的动画，开始批现在的小孩看的是些什么的时候。
我上小学初中，甚至高中的时候这些动画在网上还是被踩的。
明明我一直在等的是这批人，但是我却没有那么小时候想象得那么高兴。",消极,0.99,0.01,5,0,浙江,Gender.FEMALE
至于新坑，我从16年初中的时候就开始高浓度的月月月，所以其实没什么变化，国动发展太慢了，至于网文我小时候就没兴趣，网文改在我这里不算国动的,消极,1.0,0.0,1,0,浙江,Gender.FEMALE
首先日本动画确实是一代不如一代，现在日本动漫的主力是欧洲，欧洲人与其在意剧情不如说更在意动画的美术表达。更何况欧洲的动漫让日本给倾销死了 。对于主机游戏我是真的不喜欢是真的玩不下去，还是习惯网游。而且欧洲一年也就能玩一两款。真的玩的人不是很多,消极,0.89,0.11,2,0,河北,Gender.UNKNOWN
你说我是二次元我说我真不是，你说你是二次元我说你别来沾边，这就是我对现在低能二次元的态度,消极,0.98,0.02,3,0,北京,Gender.MALE
我差不多也算是老登了，我是看clannd那个年代的，但其实新番也有很多值得看的，没感觉遗老有什么问题,消极,1.0,0.0,1,0,广西,Gender.UNKNOWN
"之前看到个帖子说马龙是历史最强乒乓球手，看到时我第一反应是一脸疑惑，后来觉得可能论荣誉什么的它可以这么算，但等他集齐那些冠军时那会我已经不关注乒乓球了，然后才发现自己已经很久没关注乒乓球了。
放到这里也一样，你以为你了解，但其实你已经不了解二次元了",消极,0.99,0.01,1,0,广东,Gender.MALE
同楼上，我玩gal，玩jrpg，听动漫游戏音乐，看漫画，但是你要和我说二次元，那肯定不是，我甚至聊都不想和别人聊，最近开了几个新坑，比如养鱼,消极,1.0,0.0,1,0,湖南,Gender.FEMALE
"垃圾动画漫画，过了一百年也是垃圾；优质的作品哪怕刚出的那也是优质作品。
不过话虽然是这么说，但这几十年日本动画漫画产业的故事风格变化确实很大，给我的感觉就是不再去碰那些深刻的东西了，整体向轻松娱乐的方向演化。这可能是日本广场协议以后经济停滞，社会逐渐失去朝气导致的审美变化吧。感觉火之鸟那种的漫画在日本是不会再出现了",消极,1.0,0.0,1,0,山东,Gender.MALE
确实感觉越来越不行了，就感觉技术标准化提升了，但无论是音乐，人设，叙事轨迹和背景构建，甚至艺术性创新，都不在意了，这都是一些老动画老漫画很在意的东西,消极,1.0,0.0,1,0,北京,Gender.MALE
最难得的是保持热爱和兴趣一直走下去，不会被环境和心态改变，比如lol玩了十几年，现在也在玩，比如动漫和游戏还有纯音乐，现在也在一直享受,消极,0.86,0.14,0,0,青海,Gender.UNKNOWN
"遗老其实就是一群在自己的舒适圈里走不出来的人罢了。
不愿意去了解新事物，活在自己的回忆里，有个别还喜欢到处跳出来贬低新事物来获取优越感。
其实刚开始我也是这样，觉得老番无限好，新番看不上。后来公司里年轻人多了，发现自己跟年轻人有代沟了后，才意识到自己已经成了遗老。于是才开始强迫自己去接触新事物，新圈子。但走出来后意外的发现还不错，精力好像变多了，心态也年轻了不少。",消极,0.94,0.06,1,0,广东,Gender.FEMALE
不懂，自己喜欢就好，管别人怎么说，只要不违反法律，不违反道德，不触及他人自由，自己怎么喜欢怎么来,消极,0.99,0.01,1,0,广东,Gender.MALE
16上大学才看B站入了二次元，已有8年了,消极,0.99,0.01,1,0,广西,Gender.UNKNOWN
事实上番剧最好看的还是06年到12年间，当时真的是神仙打架。现在新番真的很难给人耳目一新的体验，我现在经常反回去看老番，比现在的那些无脑厕纸有意思多了,消极,0.99,0.01,0,0,江苏,Gender.MALE
至少看下UC高达吧，剧场版都行，不要自称遗老，结果开口就是死火海,消极,0.99,0.01,1,0,美国,Gender.UNKNOWN
第一，在逻辑自洽的基础上讲好一个引人共鸣，感人至深的故事，现在很多番连门槛都摸不上，如果都跟近年出的狂战传说剧情能到同一个水平，自然很少有人抱怨。第二，创作不出来的原因是因为之前的作者是真正经历过世间浮沉，然后才沉心创作的，艺术作品的前提是来源于现实，然后才是超脱于现实，现在大多数作者都没有这个水平，或者因劣币驱逐良币的原因不得不自降水平，业界精品的数量当然会越来越少，而人民群众的精神需求又越来越高，最终不满的声音当然会越来越大，你迟早也会成为其中之一的。,消极,0.99,0.01,1,0,陕西,Gender.UNKNOWN
"太遗老辣，都是遗老厚古薄今导致的，新银英在技术发展了这么久以后质量一定暴打老银英罢
现在的某些“二次元”看番开二倍速还拉进度条，一圈下来主角名字都记不住，确实可能觉得现在的一票新番质量不错，毕竟确实成功跳过了一大堆注水环节，某种去其糟粕取其精华了",消极,1.0,0.0,3,1,江苏,Gender.MALE
"二游节奏不正是最完美体现
一批老东西还在拿几年前游戏圈看现在男女对立节奏
都是玩家还能拿资历压人",消极,0.77,0.23,0,0,河南,Gender.MALE
看番十来年，我敢说我从来没有脱离这个圈子的想法，自从阿b暴雷后，花了近两年时间我也摆脱了对啊b的依赖，涉猎也比以前更广泛了漫画也在看，gal也在玩，但心态确实变了至少没有以前那么容易沉浸其中了,消极,0.99,0.01,0,0,广东,Gender.MALE
"网络上既有厚古薄今的言论，也有捧今贬古的看法，事物是双向的。
文娱产品的进步不是无限的，也超脱不了时代氛围，每一代人从当前时代环境出发，看待文娱作品的态度是不一样的。
单单日本动画业界，几十年来整体的风格转向也有几次，习惯八十年代的动画观众，未必能接受两千年后的作品，两千年初的观众，也未必能接受如今令和的风格，这是认知上的冲突，关乎每一代人认知上的动画到底是什么，难以调和。
最终把范围扩大，从动画扩大到电影、电视、游戏、小说，甚至到政治和社会的层面上，多审视的话，人必然在某种领域扮演着遗老的角色，世界上新东西太多，谁也接受不了每一种。",消极,1.0,0.0,1,0,四川,Gender.UNKNOWN
然而并不是厚古薄今，而是自身质量不够硬，这东西到底好不好，不看爆火后的观众反馈，而是让圈内人从自己批判自己，你让我想起了一款二次元开放世界抽卡游戏,消极,1.0,0.0,1,1,河北,Gender.MALE
天天说日本动画衰落，结果近几年高评价的小众动画都嫌枯燥看不进去，天天游戏没落，这几年的年度游戏又是不适合自己体质玩不进去，然后就是没落了没落了,消极,1.0,0.0,1,0,江西,Gender.MALE
看了十多年动画，我很明确自己想要的东西，以后也会一直看下去的，我这辈子都不会脱宅的，我只是单纯的喜欢动画，看动画很快乐，不管是什么题材，好看我就喜欢。只是有时候会感慨，以前社区常聊然后我跟风去看的作品，现在都冷之又冷了，甚至已经是新观众眼里的婆罗门了。就不举例子了，不然在别人眼里也是报菜名，这个意思也相当于是现在别人眼里报菜名的婆罗门冷门作品以前都是社区常聊，很多人见聊了然后一起去看，就像现在的大热作品一样。,消极,0.97,0.03,4,0,黑龙江,Gender.MALE
错误的，吃药的啥X就是要狠狠地歧视😡，以前歧视，现在歧视，以后更要歧视！,消极,0.92,0.08,2,0,江苏,Gender.MALE
"不明所以，所以你嘴里的老二次元诋毁了什么？
我知道你主要想说第一段。所以你自己说出来呗。
磨磨唧唧",消极,0.99,0.01,3,0,福建,Gender.MALE
"首先二次元本来就是相互排斥、隔离、交叉、融合的各个小圈组成的一个大圈，老东西之间都会产生矛盾。
另外，近年的“泛二次元化”也好，acgn的标签化、同质化也好，都是二次元向消费主义靠拢的体现，说白了就是商业化。立本社会形势也不容乐观，异世界题材流行不就很好说明了这一点，可悲的是就算创造逃的地方的想象力都被限制。
我仍然在关注现在的二次元，但我完全不认为现在比以前的好，恐怕事实也是如此。
关于的问题，走出来是对的，谁都有惯性。但你这个事跟二次元的变化是两个事，标题叠个非引战的甲，给清蒜老二刺螈的人（我想你应该看到了）递枪就很难绷",消极,1.0,0.0,1,0,内蒙古,Gender.MALE
一益世，吾已失，忆久依旧罢抑泠（确信）,消极,0.99,0.01,1,0,辽宁,Gender.MALE
cy,积极,0.11,0.89,0,0,河南,Gender.MALE
人成长了就要追求更好的东西，可以留恋怀念过去，但何必走回头路呢。,消极,0.9,0.1,0,0,加拿大,Gender.MALE
你这么一说我感觉马上就要老死了,消极,0.92,0.08,1,0,北京,Gender.MALE
正常啊。青春无价,积极,0.28,0.72,0,0,山东,Gender.UNKNOWN
"同90后社畜路过，物是人非是这样的
不过我不会去诋毁现在年轻人的青春，当年喊口号“童年不是喜洋洋”的时候我就已经是持反对态度了
我觉得每一代人都有自己独一无二的青春，而且是不可复制的，不用认同，也不需要理解，重要的是自己是否快乐，因为快乐才是我们最根本的初衷",消极,1.0,0.0,1,0,四川,Gender.MALE
不懂，我就臭打游戏的偶尔看看番,消极,0.99,0.01,0,0,广东,Gender.MALE
我也是新番完全看不下去了，但我倒不会说什么业界药丸什么的。但我对现在的社区氛围不喜欢倒是真的。不合时宜的抽象，莫名其妙的节奏，各种的群体……我感觉与其说怀念以前的番，我现在更怀念以前那种和谐的社区氛围,消极,1.0,0.0,1,0,江苏,Gender.MALE
你到底想表达什么,消极,0.98,0.02,0,0,北京,Gender.UNKNOWN
我当过遗老现在最疼恨的就是遗老，接触一下新东西就知道这班秀优越的多噁心了,消极,0.95,0.05,0,0,美国,Gender.FEMALE
我混的圈子一直是东方，但都是看视频看小说看本子等，从不讨论，贴吧也就是看看帖也很少发评论，但是现在关于东方的消息也就偶尔看看，感觉时间长了什么都可以不在乎了,消极,1.0,0.0,1,0,江苏,Gender.UNKNOWN
我是不信聊争议话题加个非引战就有用的,消极,0.95,0.05,1,0,江苏,Gender.UNKNOWN
但是夜叉姬是真的烂,消极,0.96,0.04,1,0,江苏,Gender.MALE
以前看着还像回事，现在看就是一堆🌶️🐔，禁掉🇯🇵冻鳗我举双手双脚赞成,积极,0.1,0.9,0,0,广东,Gender.MALE
厚古薄今可还行。芙莉莲够新了吧？你去看看有几个遗老攻击芙莉莲的？质量差的新番被攻击纯属活该，你所谓的遗老在年轻的时候也是这么攻击当年的低质量番的，只不过你压根没听说过这些番而已。,消极,1.0,0.0,0,0,江苏,Gender.MALE
"以前二次元主要群体御宅族
现在二次元主要群体是手游玩家和cos",消极,0.99,0.01,3,0,浙江,Gender.MALE
我现在还喜欢玩和看魔兽争霸的比赛，他们都是童年时期陪伴我的事物，玩这些的时候我会有安全感,积极,0.03,0.97,0,0,广东,Gender.FEMALE
人是会变的，这很正常。有的人打算在二次元停留一辈子并以自身的方式付出，有的人会回到三次元，这都正常,消极,0.72,0.28,0,0,江西,Gender.MALE
不管怎么变，喜欢往自己身上贴二次元标签的一律是傻蓝,消极,0.99,0.01,1,0,广东,Gender.UNKNOWN
遗老诋毁一些人我觉得是有原因的,消极,0.73,0.27,0,0,山东,Gender.MALE
