时间,文本,识别结果,消极概率,积极概率,IP地址
2024-04-23,"图里这哥们的原帖我去搜了一下，他疑似有点极端了，他的论点甚至不如原来抨击霸凌者的，甚至有点扯淡——因为现实不可能存在将也这种人所以声之形烂，对此我只想举出阿虚的名台词。
说实话我觉得声之形总体上还是个可以的片子，但的确在霸凌者与被霸凌者之间的后来关系上描写的理想化了，因为现实中确实很少有男主这种人，对于那些曾经被霸凌的人来说霸凌者把他们的生活随意地弄的一团糟，然后继续过着他们的生活。很少会有像男主这种在被霸凌后理解了女主并带着愧疚封闭自我的存在。观影本就是一种有代入感的事，而这种曾经的霸凌者和被霸凌者双向救赎的事的代入感应该是个难以接受的点。",消极,0.78,0.22,广东
2024-04-23,"没看过细节不好说啊
单凭你这简化描述良心发现有点牵强啊",消极,0.96,0.04,辽宁
2024-04-23,声之形太长时间了，有些细节忘了，大概的剧情我感觉没啥问题，虽然这个东西一拿出来写肯定会吵起来。人家爱原谅原谅呗，有些互联网判官闹麻了,中性,0.49,0.51,北京
2024-04-23,时代背景不一样，复活所在的时代和现在是一个情况吗？你要把复活的故事移到现在早就闹上天了。反正我没见过几个霸凌者能改邪归正的，你原谅他，他表示你谁呀？要复活真的有普世性，沙皇和白俄贵族也不会掉脑袋了。,消极,0.99,0.01,内蒙古
2024-04-23,"在我看来，这本质是一个观众与作者的认知区别
观众不愿意接受（被害者原谅加害者）
主要是因为观众认为（加害者根本不可能改变），观众代入了自己现实中的认知，得出了这一结论
但对于作品而言，作品并非现实
（加害者是可以改变的）
两者发生了冲突
按照作品设定，那必然是（加害者可以改变），但观众是通过现实真实情况得出的通俗认知，虽然不符合作品设定，但有现实实例为证，两者冲突，观众反而可以认为是（作品不符合现实是作品太假了，作者故意的）
这表现了一种现象
当作品中的行为逻辑和现实里的情况发生冲突的时候，作品内部的行为逻辑无法让所有人信服，争端自然出现
我永远喜欢奈雅丽，比比则是新交的女朋友，魔界人我左拥右抱全都要，死灵机械只是逢场作戏。
我哪渣了？",消极,1.0,0.0,辽宁
2024-04-23,"复活来自真人真事：一个贵族青年引诱了他姑母的婢女。婢女怀孕后被赶出家门，后来当了妓女,因被指控偷钱而遭受审判。这个贵族以陪审员的身份出席法庭，见到从前被他引诱过的女人，深受良心的谴责。他向法官申请准许自己同她结婚，以赎问罪过，不幸婢女在狱中死于斑疹伤寒。",消极,0.99,0.01,内蒙古
2024-04-23,我甚至觉得这作者就有恰残疾人烂钱的嫌疑,消极,0.72,0.28,四川
2024-04-23,我还是坚持两个看法，一个是作者对于主角心态转变的铺垫和描写，乃至最后爆发。另一个是时代背景，你把复活主人公换个身份，改成富二代京爷和山区女生，同样的剧情，你就看作者会不会被永封。,消极,0.98,0.02,内蒙古
2024-04-23,"托那个时代是封建时代，社会中男女主地位不平等的情况下，男主跨越阶层等级的忏悔显得少见，同时不仅男主，整个社会都在迫害女主，他的迫害是无意识的是整个社会观念导致的，相对与整个社会观念他是进步的
声之形里男女主地位是相对平等的，他的行为是社会不提倡的，相对于整个社会他都是落后退步的",消极,0.99,0.01,广西
2024-04-23,至少受的气必须发出去了。指望加害人良心发现不如同归于尽，现实不能有仇必报二次元还不能也太逆天了,消极,0.98,0.02,湖北
2024-04-23,现在没人能静下心来看现实主义小说了。时代变了，现在的人只想爽，所以说这种憋屈剧情他们看了肯定骂，至于故事本身所展现的人文气息他们是感受不到的。这就是为啥越来越多的作品讲究代入感，因为很多人已经没法用上帝视角来看待整个故事了,消极,0.98,0.02,河南
2024-04-23,因为当过妓女的读者很少，但是被霸凌过读者却很多。这就像一百万和一头牛的区别一样，你让宇智波佐助原谅木叶灭他满门我不会有什么意见，因为我又没被人灭过满门。但是你让绿谷出久原谅爆豪霸凌他那我就很有意见了。这也太**了点吧，作者到底有没有被人霸凌过啊。,消极,0.99,0.01,上海
2024-04-23,这实际上跟国人的重刑主义有关，普遍倾向于加重处罚施暴者，因此不愿意原谅。,消极,0.98,0.02,安徽
2024-04-23,不论是我自己个人经历来说还是从理论上来说，受到霸凌的人应该都是少数才对，10个里面可能都没有一个，怎么到网上一看相关话题下面全是说自己被霸凌了，什么症时尚单品,消极,1.0,0.0,陕西
2024-04-23,感觉这个东西往深研究会让这个帖子炸掉，因为艺术作品涉及意识形态政治正确，第一复活的原型故事在当时那个时代是进步的，但如果现在同样的剧情肯定不行了，所以语文历史课都要先讲背景和主题。第二，文艺作品对现实有引导作用，如果宽恕加害者，会对现实反霸凌有负面作用（既然加害者终会原谅我，那我为什么不去害他呢）。第三，涉及立场问题。这里我提一下杜鹃花落，在一些人看来，这文章太有人性了，加害者好可怜啊，他们也是受害者。然后原文作者和调研员就都寄了。,中性,0.58,0.42,内蒙古
2024-04-23,我觉得加害者得付出足够惨痛的代价并且真诚的忏悔，在此基础上才有的讨论。,消极,0.9,0.1,上海
2024-04-23,日心说肯定也不是对的，但是在当时那个时代相对于地心说那就是飞跃式的进步。声之形要是发生在19世纪20世纪那也没问题，可惜他不是。,消极,0.99,0.01,安徽
2024-04-23,仁者见仁智者见智吧,消极,0.98,0.02,江西
2024-04-23,实际上包括《安娜卡列尼娜》现在也有很多人说是给出轨者洗白。《复活》这种大家更像看到的是，强奸犯被判刑。,中性,0.58,0.42,江苏
2024-04-23,"大伙其实只想看霸凌者被薄纱 情绪宣泄罢了
至于自己有没有真的被霸凌 真正被霸凌者是如何想的没人在意的",消极,0.87,0.13,广东
2024-04-23,要考虑到时代局限性啊你在原始人时期写了一部小说，小说里祭司良心发现给活祭的人吃顿饱饭都算先进 在封建时代萌芽了新思想这确实是进步,消极,0.99,0.01,江苏
2024-04-23,其实就是霸凌离读者太近了，相比于别人的痛苦肯定自己的痛苦最重要。你看那个帖子多少人把霸凌看的比杀人埋尸纵火还严重你就知道了，他们能这么说是因为他们没被烧过也没被埋过，但真的被霸凌过当然我作为路人对此只能说我没有这样的痛苦，所以我认为把霸凌看的比杀人还严重纯属无理取闹,消极,0.98,0.02,宁夏
2024-04-23,善恶有报，应该是最直接的需求。,消极,0.64,0.36,陕西
2024-04-23,时代背景不一样有什么好说的，沙俄能跟现代背景一样吗,消极,0.98,0.02,天津
2024-04-23,前面说女主怀孕了那孩子呢？还有女主之后又爱上了男主这个昔日的仇人，那她最后和男二结婚的时候她爱的谁？只是想找接盘的？,消极,0.96,0.04,辽宁
2024-04-23,"因为人类其实没办法共情别人。
或者说大部分人类都不行。有少部分人人就可以想象出受害者的想法和感觉。
就比如你看到有个人在街边哭，你心里想的是他碰到了难事坚持不下去了。但是只有你真正遇到了，那种情绪在心里翻涌，你哭出来后，你才能意识到你看别人的情绪发泄和自己真正感受情绪，心里感觉是完全不一样的，天差地别。
这不是谁有错，而是生物本来就是这样的。
比如声之形，观众视角里就是加害者有罪，有错，去死。受害者很难过，很无助，可怜，心里委屈各种情绪。随着时间流逝抹平过去的伤疤，然后受害者忘记淡漠了过去的情绪，变得可以原谅加害者了。这是很正常的。
我想想，在举个例子，小时候受伤摔的跤，现在回忆起来这件事，有的只会有当时的记忆，但是没有当时的情绪。想反复记住情绪的爆发就是日复一日不断的回忆，让回忆和情绪变得鲜明，不要被时间抹平。（从生物学角度来看，如果情绪是一部分脑细胞受刺激，那这一批脑细胞死掉换新了，情绪自然就忘记了）",消极,0.99,0.01,上海
2024-04-23,我当时的想法是女主如果能登一下吹雪雏田大和莉莉丝这些大号里随便一个，然后把男主打一顿（别打死）的话观感会好很多,消极,0.78,0.22,上海
2024-04-23,其实声之形我觉得男主还行，甚至黑长直都能理解一点，只有绿毛真的是茶的令人不适,消极,0.93,0.07,云南
2024-04-23,你得看时代背景啊，那个时候的女人算什么东西呢，女人地位这样低看到一个对他好的有身份的人，感觉当然是不一样的，说实际点，这是跨越阶级的机会。而你如果可以用这种辩证唯物主义来写所谓的原谅剧情，他一样可以很好,消极,0.78,0.22,浙江
2024-04-23,这不就有现成的爱上霸凌者的剧情,积极,0.25,0.75,浙江
2024-04-23,你要这么讲那安娜卡列尼娜不就是女贵族出轨最后自杀的故事了吗，虽然情节相似，探讨的主题不同没法相提并论,消极,0.99,0.01,江苏
2024-04-23,反正以我个人而言 我是无法原谅霸凌者的,消极,0.89,0.11,江苏
2024-04-23,你把女主的性别换一下就知道了,消极,0.83,0.17,广东
2024-04-23,"主要是没必要把这玩意看成霸凌者加害者人群的代表，也别试图从娱乐作品里寻求什么三观。
只当做将也和硝子两个人的故事，作为一个旁观者看就行了。",消极,1.0,0.0,海南
2024-04-23,我印象里声之形里最逆天的不是其他同学吗,消极,0.94,0.06,江苏
2024-04-23,复活这剧情本来就很操蛋啊……,积极,0.06,0.94,江苏
2024-04-23,我觉得可能也得考虑时代背景？,积极,0.08,0.92,中国台湾
2024-04-23,说实话我觉得复活这部作品也是托作品里比较差的了，里面对于男主的心路历程真的非常经不起推敲，明明一个自私自利的人却突然发了善心变了个人的感觉。,消极,1.0,0.0,浙江
2024-04-23,复活什么时代背景？,消极,0.88,0.12,四川
2024-04-23,讲白了 现实中还有卢旺达事件 后续在弥合中 完全不可能弥合的事情视情况来说 其实也不大可能 总归会有人愿意妥协 （当然还的是两个巴掌）,消极,0.98,0.02,安徽
2024-04-23,是这样的你想想你救了一个被恶霸迫害的人，然后废了大功夫救了他之后他对你说谁让你干扰我们的play？谁要你救了？真下头，这个时候场上有三个人，分别是他，恶霸，和你，这三个中只有一个你觉得是谁。,消极,1.0,0.0,湖北
2024-04-23,不知道是不是翻译问题，复活当年我看到时候也觉得挺烂的，在我看过的名著里属于烂的那档（,消极,0.94,0.06,重庆
2024-04-23,"我完全无法理解西宫硝子在被石田将也搞坏了8个助听器之多家里损失170万日元约8万人民币，一直被霸凌的状态下还能对他抱有好感
我脾气再好也就是不再追究，完全没有原谅的必要",消极,1.0,0.0,江西
2024-04-23,我对声之形男主意见没那么大，我对女二意见比较大,积极,0.13,0.87,江苏
2024-04-23,不适合日常恋爱类型的轻小说和动画,中性,0.58,0.42,福建
2024-04-23,最好的结果就是加害者道歉然后双方不在往来，还爱上了是有多贱啊？抖M？,积极,0.13,0.87,江苏
2024-04-23,《复活》本身也是相当理想化的作品，男主的所谓悔过几乎不可能出现在现实，所以我也是不喜欢聂赫留朵夫这个人的，对于《复活》，我喜欢的是书中表露出来的背景与文化，也不是其中的情节。,消极,0.99,0.01,广东
2024-04-23,有人觉得声之形是浪子回头的自我救赎故事，也有人觉得这是霸凌者自我感动寻求心理慰藉的故事，说到底观众的视角和经历不同观感自然也不同，毕竟有人看故事有人照镜子，更别说17年资源刚流出的的时候731学院还没被ban，当时火爆猴粉丝的受害者有罪论可是恶心了不少人当时婊声之形的帖子很多都在转进火爆猴,消极,0.98,0.02,山西
2024-04-23,你跳出时代背景单看剧情不纯扯吗,消极,0.98,0.02,湖南
2024-04-23,复活的亮点难道不是男主背叛了自己的阶级体现了那个时代的先进性吗，声之形先进在哪，斯德哥尔摩动画版？,消极,0.97,0.03,安徽
2024-04-23,当然能写好，是声之形（电影）自己写得恶心,消极,0.87,0.13,英国
2024-04-23,因为现在的人尊严没有以前的低贱了,消极,0.98,0.02,江西
2024-04-23,因为这片本质讲的是残障人士的自我救赎故事而不是80故事，男主是精神残障，女主是身体残障，80不过是引子而已，况且故事里起码男主的行为是可以理解和接受的，为了自我救赎最后差点献出生命，我没觉得有什么不行的，说到底是这部剧触碰了很多人的软肋，仅此而已,消极,0.83,0.17,湖南
2024-04-23,哥尔赞效应，被虐者爱上施虐者,积极,0.06,0.94,四川
2024-04-23,声之形烂不烂我不知道，也不好说但是那帖子有些人还能因为声之形的原因说京阿尼被烧不值得同情的就搞笑，就这帮人的道德水平还好意思笑声之形的霸凌恶心,消极,0.9,0.1,广东
2024-04-23,"第一：加害者要悔过，并付诸行动改过
第二：受害者受到了补偿，可以放下被伤害的过去
第三：受害者从始至终都是弱者，这才是以上两点能成立的前提。
弱者被强者伤害，然后再被强者救赎
我个人不喜欢这种剧情",消极,0.98,0.02,重庆
2024-04-23,我觉得声之形写的挺好的，男主确实付出代价然后真心悔悟尽力弥补了，而且女主也原谅了,积极,0.24,0.76,江苏
2024-04-23,"问题看写了什么吧，复活的重点绝对不是聂赫留朵夫这个贵物的忏悔和心路历程，复活最宝贵的内容恰恰是通过叙述聂赫留朵夫在为喀秋莎奔走减刑，在和流放队一同踏上服役旅途中对社会百态的所见所闻。唯利是图的贵族、艰苦生活的工匠，思想开明的学生和工人……恰恰就是因为在这个故事里，聂赫留朵夫的心理活动被不断压缩，用底层人民的生活取而代之，用喀秋莎从沉沦到觉醒，身上从弥漫着一股暮气，到后来洋溢着快乐和善良的生气的复活之旅，取代了聂赫留朵夫那卑鄙的一家之见的忏悔，复活才是杰出的巨作。
否则，要是托尔斯泰光在聂赫留朵夫过去诱奸喀秋莎，后来突然醒转想要悔改的呓语当中作文章，复活就变得臭不可闻了。况且，鉴于原著结局的聂赫留朵夫对一切生活的问题，只是粗暴地皈依圣经福音书，我对这部小说的感受就不怎么好。",消极,0.86,0.14,北京
2024-04-23,我第一次看《复活》时还是个小学生，那时候的我连“妓 女”这个词的意思都不明白。总之这本书让我大受震撼。,消极,0.9,0.1,山东
2024-04-23,没看过，对俄罗斯文学一直是不明觉厉的态度。。。但是40万字的纯文学作品和109分钟的电影，信息量不是一个等级。,消极,1.0,0.0,江苏
2024-04-23,因为这女主脑子不正常,积极,0.17,0.83,江苏
2024-04-23,保留节目,消极,0.68,0.32,陕西
2024-04-23,这两个不该拿来比较，因为时代不一样，时代不同同样的事意义也不一样。五六十年前你要大夸日本美国多好你会被当敌特送去打靶，现在只是会有人骂你但政府不管。同样复活作为沙俄时期的小说，男主作为普遍腐朽不当人的贵族一员，能有悔悟真的是一件值得大书特书的事，是对于当时普遍不把农奴当人的贵族阶层来说一个巨大的进步。声之形发生在至少人人表面平等的现代，男主干得事对道德观来说简直算退步。无论什么故事都不该剥离其所处的时代来单独说的,消极,0.99,0.01,江苏
2024-04-23,反正现在这时代背景我是不太喜欢这种剧情，更希望传达的是被害者受到的伤害或者努力抗争的艰难，不要觉得能让施暴者凭良心悔悟,消极,1.0,0.0,广西
2024-04-23,不好说，很多对作品的评价很乱，很不对头，相当主观，主观到完全脱离了作品描述的情况，是他们莫名其妙的情感宣泄，我不知道他们是不是真的被80了，但这不是满口胡言乱语的理由,消极,0.92,0.08,重庆
2024-04-23,"真的写不好，你可以写好加害者的改变。但是受害者爱上加害者，无论怎么写这个人物都很抽象。而改变这种认知的居然是性别，你是男的代入加害者就能接受女受害者爱上加害者，反过来也一样
复活的创作时代贵族哥能对一女仆姐有个悔意已经算很好了。
可是镜头依旧是固定在贵族哥身上的。
这些作品无一例外都是加害者的洗礼，可问题并不出在加害者身上，知错能改很好，没人说不是
问题是受害者不可以如此空洞。一个女仆，一个聋子，打一开始他们就对自己的遭遇无能为力。结果加害者知错能改后，连最基本的恨都要作为这场洗礼的结束扭曲成爱？",消极,0.95,0.05,浙江
2024-04-23,"因为很多人看这番喜欢代入自身经历，尤其作为霸凌受害者的。你让这些人去理解女主的行为逻辑就是不可能的事。
而且霸凌属于人类社会最无解的问题之一，对霸凌者的处理不管怎样都无法令大部分人满意，这番最大的问题就是选择了这个题材，故事再怎么改都注定了这作品会被骂。",消极,0.7,0.3,云南
2024-04-23,我觉得声之形不至于被喷，但你拿复活比也太抽象了。声之形是男主是贵族，还是女主是女仆了，还是声之形的日本是一个19世纪国家了？起码拿一个相似社会风气或者年代背景的东西来比啊,消极,0.9,0.1,上海
2024-04-23,豆沙了,消极,0.71,0.29,江苏
2024-04-23,"声之形没什么问题，至少没做出受害者道歉两次，加害者反过来原谅受害者这种剧情，我已经能接受了
贴吧更新着居然把去小尾巴的功能删了？",消极,0.94,0.06,上海
2024-04-23,把受害者洗脑或者让受害者失忆，然后加害者把这段经历抹掉就行了,消极,0.98,0.02,河南
2024-04-23,这两者是有本质区别的，复活的加害者是高贵的贵族，而受害者则只不过是一名女仆，身份差距如此悬殊，当上位者宣布自己在忏悔的时候，下位者除了接受还能怎样呢？,消极,1.0,0.0,山东
2024-04-23,你指望让这吧大部分没读过文字书籍的死宅，属实是太高看他们了,消极,0.98,0.02,河南
2024-04-23,一些人宁可把问题归咎于，怪罪于“写不好，处理不好所以我喷它”上，也绝对不肯承认是“读者玻璃心，极端化，碎片化，断章取义，根本不会看任何老作品老名著”上。很多老名著别说把梗概写给当代读者看，哪怕是全篇看下来，他们也得喊一句什么烂矢惊天大雷作。,消极,1.0,0.0,广东
2024-04-23,我觉得不好,积极,0.4,0.6,四川
2024-04-23,"是可以啊，没问题，只要你事先铺垫好对应的社会环境或者家庭环境因素对当事人的影响，让当事人的选择能够说得通就可以
我拿龙女仆来举个例子，托尔原本所在的世界里，人类与龙或天然或被迫呈敌对关系，有来有回地相杀，这种背景环境下你还会去追究托尔以前杀过多少人吗？",消极,1.0,0.0,福建
2024-04-23,问题是当初我看复活也觉得恶心啊,消极,0.63,0.37,四川
2024-04-23,"仇恨和罪只有施暴的一方死透后才会消失
我的建议是这两个男主死完了再谈他们恶心的救赎",消极,0.98,0.02,黑龙江
2024-04-23,"哪怕是伟大如托尔斯泰，也不可能完全逃脱时代的局限性，可能在他那个时代，男主内心痛苦，想补偿受害人那就已经是“复活”了，但起码生活在21世纪的我这里，他不坐个牢是过不了关的（我知道一个贵族坐牢在那个年代是扯淡，托老写的很合理，但不合我胃口）
《复活》我没完整看过，但其他的赎罪类作品我也算了解一点，比如《肉蒲团》的男主，他赎罪的方式很老套，出家嘛。但那肯定不够，所以他把自己阉了，这我就看得挺爽的。
还有《飘》，其实不算赎罪，但也有后悔属性在。书到了结尾其实白瑞德也没原谅女主，我看得也很爽啊，不原谅本来就没啥问题啊。
所以本来名著本身就有原谅和不原谅的流派，当然要允许读者也有不同流派啊，我是后者我看《复活》当然就不舒服，不管他文笔有多好。",消极,0.99,0.01,贵州
2024-04-23,那么从你的论述中我们可以得出一个结论，声之形被声讨并不是受害者爱上加害者这种剧情不行，而是声之形这个电影本身不行,消极,0.98,0.02,湖北
2024-04-23,如果是现代故事，就应该把这个强碱饭送进监狱，在法庭上痛哭乞求原谅，被害者只需要丢出一句“你不配”,消极,0.99,0.01,北京
2024-04-23,你这个例子与人权地位相关被时代局限，但声之形的背景是现代社会，女主也不是男主的星怒女仆,消极,0.95,0.05,湖北
2024-04-23,看赎罪的力度有多大了，我记得声之形最后男主用命去赎罪了，这种还不能原谅的话我觉得多少有点过了,消极,0.72,0.28,山东
2024-04-23,什么斗破苍穹？,消极,0.98,0.02,广东
2024-04-23,剧情大概就大纲，原案，这类东西。最终呈现给观众的还得看剧本，剧情包含在剧本里面的。剧情简单，剧本不错的，就有孤独摇滚，mygo这种例子。剧情不错，剧本垃圾的就比如混沌之子的动画，或者寒蝉卒，龙7写的故事，女同相爱相杀什么的其实大致上还算可以我也好这口，就比如魂环也是相爱相杀，但是久弥直树这个编剧把寒蝉卒这个悬疑故事的解题篇写成搞笑故事了。当然，除了剧本，还有动画演出，音乐等要素，才能觉得作品最终观感。,积极,0.08,0.92,黑龙江
2024-04-23,与中国文化和教育有一定关系，在国内教育体系下，人们经常试图在虚拟作品中寻找“教育意义”，即看完这部作品我得到了什么，作者教会了我什么，所以有人会认为声之形在教导我必须要原谅施暴者，三观不正。有些作品单纯看个故事也挺好的，只是主角这么做了，没人逼迫你也这么做，你可以不喜欢这个故事，但也别强行扣个三观不正的帽子,消极,0.81,0.19,陕西
2024-04-23,声之形的男女主我觉得都还不错，男主确实也为了赎罪干了不少事，但女二真受不了吧,消极,0.88,0.12,海南
2024-04-23,我怀疑如果楼主直接把复活遮掉名字发个剧情梗概出来，下面这些扯什么时代背景身份差异的人都会直接了当地喷烂吧还不如像某层层主一样连托尔斯泰一起骂，起码不双标。,消极,0.97,0.03,湖南
2024-04-23,形容一下，差不多就是追妻火葬场的那种,消极,0.89,0.11,湖北
2024-04-23,男主被80的时候已经知道这种感受并且改变甚至学习了哑语 我认为他比大部分人都强,消极,0.66,0.34,四川
2024-04-23,妖尾的伽吉鲁和蕾比算写的合理的，也有很多人喜欢这对cp，反面例子就是作者的另一作品有个斯德哥尔摩受害者爱上加害者的扭曲cp狠狠恶心了读者一把，但换个世界这对反转成了妻管严的纯爱，我个人对这种类型实在无感,积极,0.12,0.88,湖南
2024-04-23,哪来那么多PTSD患者啊？无法同情，看乐子,消极,0.97,0.03,浙江
2024-04-23,大伙儿喜欢自己治，最擅长替别人原谅or不原谅，只要不合心意就喷呗。,积极,0.34,0.66,河南
2024-04-23,其实可以参考黑契2，印象里苏芳视角黑叔应该是杀了她爹还对她拳打脚踢的纯➗,消极,0.98,0.02,河北
2024-04-23,"加害者唯一的归途就是带着忏悔下地狱去，如果下不了地狱也离被害者越远越好
一切都已终局，赎罪是个彻底的伪概念，祈求被害者原谅更是令人恶心的自我感动",消极,1.0,0.0,湖南
2024-04-23,可以写好啊，有很多那种斯德哥尔摩综合症的情节就类似这样的，被害者爱上加害者,积极,0.29,0.71,广西
2024-04-23,楼主能不能推点类似的纯爱唯美动漫啊，昨天看完声之形、你的名字、天气之子，现在好上头啊……至于对这些动漫的看法的话，我自己一直都是取其精华剔其糟粕这样的看法的，没有什么东西是完美的，不要太苛刻，能从一样事物里面获得你喜欢的东西已经不错了,积极,0.37,0.63,广东
2024-04-23,"1、文学作品也是有时代的局限性的，肯定其文学价值不等于认同作品表达的一切观点。
2、尊重物种多样性。
3、反正我是接受不了。",消极,1.0,0.0,上海
2024-04-23,复活有阶层矛盾，声之形有吗,消极,0.71,0.29,安徽
2024-04-23,首先给你说，受害者爱上加害者本身就不是正常人能接受的剧情，尤其是校园霸凌这部分，声之形受害者自己觉得自己是个fw，别人欺负自己都无所谓，加害者因为事情败露被卖反省，然后想对受害者好然后被喜欢上。非自然死亡里面的校园霸凌就是无法惩治霸凌者，所以受害者用自杀的方式来让别人惩罚加害者，这种剧情都是这么写的悲剧的，谁几把跟声之形一样写着成爱情理解了,消极,0.65,0.35,陕西
2024-04-23,简单，像《君之匕首》里一样，罪有应得甚至付出生命的代价就行,消极,0.93,0.07,江西
2024-04-23,再说一句，校园霸凌只有一个结局，受害者在接受加害者的欺凌，身心俱损的情况下求助他人最终曝光惩治。硝子本身病态的自毁就不是该有的，还有加害者不停的纠缠受害者然后互相理解的，把校园霸凌看得跟小孩子打闹一样简单,消极,0.92,0.08,陕西
2024-04-23,所以有人吹复活是反80神作吗？,中性,0.48,0.52,四川
2024-04-23,受害者真正认识到了错误，诚心悔过，不搞施舍自我感动那一套就行，至于有没有受到法律的惩罚要贴合故事背景来看，有些人是为了声讨而声讨，不必理会,消极,0.94,0.06,山东
2024-04-23,女主不该由加害者男主拯救，要么自救要么塑造另外一个角色,消极,0.95,0.05,广东
2024-04-23,为什么是原谅加害者？在我看来是互相救赎,消极,0.97,0.03,广东
2024-04-23,因为现实生活中搞校园霸凌是很困难的，一个男生这么欺负一个普通女生更是闻所未闻。,消极,0.97,0.03,黑龙江
2024-04-23,文学作品没问题，文学这玩意有一套自己的评价标准，作为面相大众的普通作品我只能评价烂,消极,0.96,0.04,福建
2024-04-23,时代不一样啊，这个很关键啊，以前人人和地位都不同，观念也不同,消极,0.98,0.02,广东
2024-04-23,我从始至终都认为这电影的主题是交流，至于8零，我认为他少了点儿，印象中施暴的不止男主自己，可遭受惩罚就只有男主了,消极,0.99,0.01,山东
2024-04-23,相信我，大家不接受只有一个原因——你TM悔过的不够。,消极,0.96,0.04,安徽
2024-04-23,霸凌者永远不配得到原谅，我的普世价值观让我得到这个结论，至于男主，死不死的先不提。有多远滚多远就好,消极,0.92,0.08,山东
2024-04-23,跳楼往水池跳我没绷住,消极,0.92,0.08,吉林
2024-04-23,？这小说也不是纯讲欺凌的啊，你拿一个内涵丰富的小说和只有欺凌一个主题的声之形比对欺凌的处理是否有点，要这么说那红楼梦就等于宝黛爱情故事喽聂赫留朵夫如何在颠沛流离中和不同身份阶层的人接触，这些被时代造就的人如何改变了他的观念，最后他甚至在封建时期就觉醒了较基础的g/c/z/y/思想这些部分你是一个字也没看进去啊,消极,0.99,0.01,北京
2024-04-23,名著和一般作品不是一个维度的,消极,0.97,0.03,广西
2024-04-23,都不是一个时代的如果都是21世纪的东西而且是一种类型的再说这基本上和拿鲁迅去说爱猫没什么区别,消极,0.99,0.01,江苏
